gene_id	gene_name
(BSU33730,BSU33720,BSU33710,BSU33700),(BSU33830,BSU33820,BSU33810,BSU33800)	(opuBA and opuBB and opuBC and opuBD) or (opuCA and opuCB and opuCC and opuCD)
BSU07610	citM
BSU33830,BSU33820,BSU33810,BSU33800	opuCA and opuCB and opuCC and opuCD
BSU33830,BSU33820,BSU33810,BSU33800	opuCA and opuCB and opuCC and opuCD
BSU27330	udk
(BSU02980,BSU02990,BSU03000),(BSU33830,BSU33820,BSU33810,BSU33800)	(opuAA and opuAB and opuAC) or (opuCA and opuCB and opuCC and opuCD)
BSU13890,BSU13900,BSU13910	ptsG and ptsH and ptsI
BSU12010,BSU13900,BSU13910	manP and ptsH and ptsI
BSU03981,BSU13900,BSU13910	mtlA and ptsH and ptsI
BSU12930,BSU12940,BSU12950,BSU12960	dppB and dppC and dppD and dppE
BSU12930,BSU12940,BSU12950,BSU12960	dppB and dppC and dppD and dppE
(BSU13900,BSU13910,BSU38050),(BSU13900,BSU13910,BSU01680)	(ptsH and ptsI and sacP) or (ptsH and ptsI and ybbF)
BSU13900,BSU13910,BSU07800	ptsH and ptsI and treP
(BSU07520,BSU07510,BSU07500,BSU07490),(BSU33310,BSU33290,BSU33320,BSU33300),(BSU03800,BSU03810,BSU03820,BSU03830)	(yfmC and yfmD and yfmE and yfmF) or (fhuB and fhuC and fhuD and fhuG) or (yclN and yclO and yclP and yclQ)
BSU02130	glpQA
BSU32840	fadN
BSU32840	fadN
BSU32840	fadN
BSU32840	fadN
BSU32840	fadN
BSU32840	fadN
BSU32840	fadN
BSU30830,BSU31990	menF or dhbC
BSU39670,BSU39750,BSU39740,BSU39730,BSU39720	iolJ and iolB and iolC and iolD and iolE
BSU28560,BSU18250,BSU10270,BSU10360	lcfA or yngI or lcfB or yhfT
BSU10360,BSU18250,BSU10270,BSU28560	yhfT or yngI or lcfB or lcfA
BSU28560,BSU10270,BSU10360,BSU18250	lcfA or lcfB or yhfT or yngI
BSU10270,BSU10360,BSU18250,BSU28560	lcfB or yhfT or yngI or lcfA
BSU10270,BSU10360,BSU18250,BSU28560	lcfB or yhfT or yngI or lcfA
BSU10270,BSU10360,BSU18250,BSU28560	lcfB or yhfT or yngI or lcfA
BSU18250,BSU10270,BSU10360,BSU28560	yngI or lcfB or yhfT or lcfA
(BSU15900,BSU11340,BSU15910,BSU11330,BSU11720,BSU04030),(BSU15900,BSU11340,BSU15910,BSU10170,BSU08650,BSU36370)	(fabD and fabF and fabG and fabHA and fabI and ycsD) or (fabD and fabF and fabG and fabHB and fabL and fabZ)
(BSU15900,BSU11340,BSU15910,BSU10170,BSU08650,BSU36370),(BSU15900,BSU11340,BSU15910,BSU11330,BSU11720,BSU04030)	(fabD and fabF and fabG and fabHB and fabL and fabZ) or (fabD and fabF and fabG and fabHA and fabI and ycsD)
BSU28560,BSU18250,BSU10360,BSU10270	lcfA or yngI or yhfT or lcfB
BSU10270,BSU10360,BSU18250,BSU28560	lcfB or yhfT or yngI or lcfA
BSU10270,BSU10360,BSU18250,BSU28560	lcfB or yhfT or yngI or lcfA
BSU28560,BSU10270,BSU10360,BSU18250	lcfA or lcfB or yhfT or yngI
(BSU15900,BSU11340,BSU15910,BSU11330,BSU11720,BSU04030),(BSU15900,BSU11340,BSU15910,BSU10170,BSU08650,BSU36370)	(fabD and fabF and fabG and fabHA and fabI and ycsD) or (fabD and fabF and fabG and fabHB and fabL and fabZ)
(BSU15900,BSU11340,BSU15910,BSU10170,BSU08650,BSU36370),(BSU15900,BSU11340,BSU15910,BSU11330,BSU11720,BSU04030)	(fabD and fabF and fabG and fabHB and fabL and fabZ) or (fabD and fabF and fabG and fabHA and fabI and ycsD)
(BSU15900,BSU11340,BSU15910,BSU11330,BSU11720,BSU04030),(BSU15900,BSU11340,BSU15910,BSU10170,BSU08650,BSU36370)	(fabD and fabF and fabG and fabHA and fabI and ycsD) or (fabD and fabF and fabG and fabHB and fabL and fabZ)
(BSU15900,BSU11340,BSU15910,BSU10170,BSU08650,BSU36370),(BSU15900,BSU11340,BSU15910,BSU11330,BSU11720,BSU04030)	(fabD and fabF and fabG and fabHB and fabL and fabZ) or (fabD and fabF and fabG and fabHA and fabI and ycsD)
(BSU15900,BSU11340,BSU15910,BSU11330,BSU11720,BSU04030),(BSU15900,BSU11340,BSU15910,BSU10170,BSU08650,BSU36370)	(fabD and fabF and fabG and fabHA and fabI and ycsD) or (fabD and fabF and fabG and fabHB and fabL and fabZ)
(BSU15900,BSU11340,BSU15910,BSU11330,BSU11720,BSU04030),(BSU15900,BSU11340,BSU15910,BSU10170,BSU08650,BSU36370)	(fabD and fabF and fabG and fabHA and fabI and ycsD) or (fabD and fabF and fabG and fabHB and fabL and fabZ)
(BSU15900,BSU11340,BSU15910,BSU11720,BSU04030),(BSU15900,BSU11340,BSU15910,BSU10170,BSU08650,BSU36370)	(fabD and fabF and fabG and fabI and ycsD) or (fabD and fabF and fabG and fabHB and fabL and fabZ)
(BSU15900,BSU11340,BSU15910,BSU10170,BSU08650,BSU36370),(BSU15900,BSU11340,BSU15910,BSU11330,BSU11720,BSU04030)	(fabD and fabF and fabG and fabHB and fabL and fabZ) or (fabD and fabF and fabG and fabHA and fabI and ycsD)
(BSU15900,BSU11340,BSU15910,BSU11330,BSU11720,BSU04030),(BSU15900,BSU11340,BSU15910,BSU10170,BSU08650,BSU36370)	(fabD and fabF and fabG and fabHA and fabI and ycsD) or (fabD and fabF and fabG and fabHB and fabL and fabZ)
(BSU15900,BSU11340,BSU15910,BSU11330,BSU11720,BSU04030),(BSU15900,BSU11340,BSU15910,BSU10170,BSU08650,BSU36370)	(fabD and fabF and fabG and fabHA and fabI and ycsD) or (fabD and fabF and fabG and fabHB and fabL and fabZ)
BSU23490,BSU19630	pupG or deoD
BSU23490,BSU19630	pupG or deoD
BSU23490,BSU19630	pupG or deoD
BSU19630,BSU23490	deoD or pupG
(BSU15900,BSU11340,BSU15910,BSU11720,BSU04030),(BSU15900,BSU11340,BSU15910,BSU10170,BSU08650,BSU36370)	(fabD and fabF and fabG and fabI and ycsD) or (fabD and fabF and fabG and fabHB and fabL and fabZ)
BSU37710	bacD
BSU37710	bacD
BSU37710	bacD
BSU37710	bacD
BSU37710	bacD
BSU37710	bacD
BSU22420	panC
BSU37710	bacD
BSU37710	bacD
BSU37710	bacD
BSU37710	bacD
BSU15190	mraY
BSU37710	bacD
BSU37710	bacD
BSU14860	pycA
BSU37710	bacD
BSU37710	bacD
BSU37710	bacD
BSU24090,BSU37660	ptb or pta
BSU34560	mdxL
BSU34560	mdxL
(BSU14580,BSU14590),BSU14600,BSU14610	(pdhA and pdhB) and pdhC and pdhD
BSU34560	mdxL
BSU34560	mdxL
BSU34560	mdxL
BSU29190	pfkA
BSU04000	ycsA
BSU23490,BSU19630	pupG or deoD
BSU19630,BSU23490	deoD or pupG
BSU29190	pfkA
(BSU32730,BSU32740,BSU32750),(BSU29380,BSU29370,BSU29360,BSU29350,BSU29340)	(metQ and metP and metN) or (tcyJ and tcyK and tcyL and tcyM and tcyN)
BSU34860	hisI
BSU04740	rsbX
BSU01770	glmM
BSU38500,BSU38510,BSU38520,BSU38530,BSU35750,BSU35760,BSU35720,BSU35710,BSU35700,BSU35530	dltA and dltB and dltC and dltD and tagA and tagB and tagF and tagG and tagH and tagO
BSU17380,BSU17390,BSU17370	nrdE and nrdF and nrdI
BSU01770	glmM
BSU17380,BSU17390,BSU17370	nrdE and nrdF and nrdI
BSU23070	serA
BSU17380,BSU17390,BSU17370	nrdE and nrdF and nrdI
BSU35750,BSU35760,BSU35730,BSU35720,BSU35710,BSU35700,BSU35530	tagA and tagB and tagE and tagF and tagG and tagH and tagO
BSU23860	gndA
BSU33930	pgk
BSU09240	glpW
BSU33910	pgm
BSU16540	cdsA
