gene_id	gene_name
BSU07610	citM
BSU37190,BSU37240,BSU36590	clsB or ywiE or clsA
BSU07610,BSU39060	citM or citH
BSU38770,BSU26860	cimH or yraO
BSU23380	lysA
BSU32170	dapF
BSU23260	ribAB
BSU30210	bioD
BSU25580	comEB
BSU25580	comEB
BSU22090	kdgT
BSU22110	kdgK
BSU15680	gmk
BSU00150	dgk
BSU21870	ilvD
BSU21870	ilvD
BSU32000	dhbA
BSU31980	dhbE
BSU22490	dapB
BSU16770	dapA
BSU21810	dfrA
BSU21810	dfrA
BSU28080	folC
BSU38490	menA
BSU38830,BSU39860,BSU19310	aldY or aldX or dhaS
BSU33940	gapA
BSU03930	gdh
BSU33960	araE
BSU00780	folB
BSU15500	pyrC
BSU15530,BSU15540	pyrK and pyrD
BSU15680	gmk
BSU08840,BSU08830,BSU08850	ssuA and ssuB and ssuC
BSU33830,BSU33820,BSU33810,BSU33800	opuCA and opuCB and opuCC and opuCD
BSU15680	gmk
BSU00150	dgk
BSU38280,BSU38270,BSU38260	efeU and efeM and efeN
BSU23080	aroC
BSU08460,BSU08440,BSU08450	yfhA and yfiY and yfiZ
BSU33310,BSU33290,BSU33300,BSU39610	fhuB and fhuC and fhuG and yxeB
BSU22700	aroB
BSU38040	sacA
BSU39380	hutG
BSU38110,BSU03860,BSU07830	nfrAA or nfrAB or nfsB
BSU15720	defA
BSU38110	nfrAA
BSU15730	fmt
BSU16670	ribC
BSU27200	yrhG
BSU38710	yxlA
BSU12930,BSU12940,BSU12950,BSU12960	dppB and dppC and dppD and dppE
BSU30070	opuD
BSU11670	thiO
BSU13110	purU
BSU06170,BSU05860	ydjE or gmuE
BSU33040	fumC
BSU22130	kduI
BSU07570,BSU04470	yflS or dctP
BSU23260	ribAB
BSU00500	gcaD
BSU24280	ispA
BSU34550	mdxM
BSU22140	kduD
BSU35740	tagD
BSU02480	gudP
BSU12360	exuT
BSU28120,BSU08710	hemL or gsaB
BSU13620	mtnD
BSU22830	gpsA
BSU09300	glpD
BSU30940	glgP
BSU02490	gudD
BSU30950	glgA
BSU13130	proA
BSU23850	zwf
BSU02360,BSU35020	nagBB or nagBA
BSU31350	pgi
BSU10520	glcP
BSU02510	garD
BSU17460	glnA
BSU02480	gudP
BSU30970,BSU30960	glgC or glgD
BSU13620	mtnD
(BSU03590,BSU03600,BSU03610),(BSU27440,BSU27450,BSU27460,BSU27430)	(tcyC and tcyB and tcyA) or (glnH and glnM and glnP and glnQ)
BSU12330	yjmD
BSU06490	purF
BSU38200	galK
BSU30300	melA
BSU30300	melA
BSU30300	melA
BSU30300	melA
BSU13120,BSU18470	proB or proJ
BSU38190	galT
BSU22960,BSU37790	gudB or rocG
BSU35670	gtaB
BSU13590	mtnW
BSU12360	exuT
BSU02430,BSU14830	glsA or glsB
BSU28170	hemA
BSU02350,BSU13900,BSU13910	gamP and ptsH and ptsI
BSU24280	ispA
BSU29020	gapB
BSU26810,BSU28390	yrpC or racE
BSU18450,BSU18440	gltA and gltB
BSU00920	gltX
BSU09130,BSU10220	tcyP or gltT
BSU10220,BSU02340	gltT or gltP
BSU04340	ydaP
BSU06510	purN
BSU02230	purT
BSU30980	glgB
BSU01780	glmS
BSU18410	ggt
BSU02140	glpT
BSU25160	ispH
BSU17000	kbl
BSU40040	glxK
BSU36900	glyA
BSU40070,BSU19520	gntP or yojA
BSU29060	coaE
BSU28680	glcD
BSU03060,BSU34190	lctP or yvfH
BSU15110	panE
BSU09280	glpF
BSU09290	glpK
BSU35920	rbsK
BSU32130	guaC
BSU06360	guaA
BSU40060	gntK
BSU02130	glpQA
BSU02130	glpQA
BSU06520	purH
BSU08840,BSU08830,BSU08850	ssuA and ssuB and ssuC
BSU07610	citM
BSU07610	citM
BSU35940,BSU35960,BSU35950,BSU35930	rbsA and rbsB and rbsC and rbsD
BSU39420	deoC
BSU25160	ispH
BSU22870	fni
BSU21900	bsaA
BSU38040	sacA
BSU00280	tmk
BSU00680	hprT
BSU38300	thiM
BSU22780	folEA
BSU27600	rsh
BSU37060	tdk
BSU13170	guaD
BSU00680	hprT
BSU06370,BSU29990	pbuG or pbuO
BSU14880,BSU12080	ctaB or ctaO
BSU12300	uxaC
BSU39400	pdp
BSU06370,BSU29990	pbuG or pbuO
BSU24850	glcK
BSU33510	copZ
BSU12300	uxaC
BSU17660,BSU20020	yncF or yosS
BSU32840	fadN
BSU32840,BSU24160	fadN or mmgB
BSU22760,BSU22740	hepS and hepT
BSU07990	yfjR
BSU14870	ctaA
BSU16550	dxr
BSU39350	hutH
BSU34910	hisD
BSU37710	bacD
BSU24270	dxs
BSU37710	bacD
BSU37710	bacD
BSU29620	hisJ
BSU13600	mtnX
BSU37710	bacD
(BSU31090,BSU31100),(BSU14510,BSU13500),BSU26640	(ktrA and ktrB) or (ktrC and ktrD) or yrdP
BSU37710	bacD
BSU37710	bacD
BSU37710	bacD
BSU39390,BSU02400	hutM or ybgF
BSU28150	hemC
BSU17150	pksG
BSU37710	bacD
BSU18220,BSU28540	yngF or fadB
BSU37710	bacD
BSU31610,BSU31660,BSU31600,BSU31620,BSU31630,BSU31650	mrpB or mrpG or mrpA or mrpC or mrpD or mrpF
BSU18230	yngG
BSU13960	ykwC
BSU11710,BSU38020	thiD or pdxK
BSU28540,BSU18220	fadB or yngF
BSU37780	rocA
BSU31322	yugO
BSU00790	folK
BSU37710	bacD
BSU18220,BSU28540	yngF or fadB
BSU28720,BSU28510	abfA or xsa
BSU37710	bacD
BSU32260	hom
BSU32240	thrB
BSU21910	metA
BSU37710	bacD
BSU37710	bacD
BSU35780	lytD
BSU18220,BSU28540	yngF or fadB
