ybeF	0.0
glpQ	0.947
ybdT	1.31
ybxH	1.03
ybdM	1.13
ybdK	1.09
ybxF	1.06
rplJ	0.9948
rplK	1.02
rpmG	0.9868
yacP	1.18
rplL	0.8367
ybdE	1.09
ybcT	1.13
ybcQ	1.15
ybcO	1.08
ybcL	1.13
ybcH	0.9005
cysE	1.39
yacN	1.17
yacL	1.04
sms	1.03
yacH	1.06
glpT	1.09
ybyB	1.92
ybxI	1.16
csgA	1.03
ybdL	1.04
ybdJ	1.07
ybxB	1.13
rplA	1.04
nusG	1.0
sigH	1.09
yacO	1.25
ybdA	1.22
ybcS	1.3
ybcP	1.21
ybcM	1.68
ybcI	0.9209
ybcF	0.9013
gltX	1.31
yacM	1.24
yacK	1.02
yacI	1.09
ctsR	0.9423
ydbB	0.0
ydbA	1.12
ydaS	2.39
ydaQ	1.18
mutT	1.13
ydaN	1.25
yciB	1.42
nasA	1.19
nasD	0.717
nasF	0.9704
ycgS	1.07
ycgQ	1.06
ydaL	1.2
ydaJ	1.11
lrpC	1.03
ydaH	1.32
ydaF	1.15
ydaD	1.55
ycgO	1.02
ycgM	1.0
cah	1.09
ycgJ	1.17
tmrB	1.21
ycgH	1.12
gsiB	4.79
ydaT	1.43
ydaR	1.22
ydaP	2.49
ydaO	1.07
ydaM	1.11
yciA	1.26
nasC	1.09
nasE	0.5382
ycgT	0.9351
ycgR	1.07
ycgP	1.09
ydaK	1.24
ydzA	1.02
ydaG	1.77
ydaE	1.86
ydaC	1.28
ycgN	1.08
ycgL	1.07
ycgK	1.18
aroI	1.15
nadE	1.39
ycgG	1.13
purL	3.15
purC	2.99
purK	3.15
yebG	1.26
yebE	1.49
yebC	1.37
ydfK	1.33
ydfJ	1.26
ydfH	1.19
ydfF	1.12
ydfD	1.24
ydfB	1.29
guaA	1.28
yeaD	1.18
yeaB	1.2
yeaA	0.8294
ydjO	0.8101
ydjM	1.34
ydeT	1.15
ydeR	1.13
ydeP	1.17
ydzF	1.14
ydeM	1.16
ydeK	1.09
yexA	3.15
purB	3.69
purE	3.06
yebF	1.13
yebD	1.55
yebB	1.76
nap	1.08
ydfI	1.1
ydfG	1.19
ydfE	1.35
ydfC	1.35
ydfA	1.64
yebA	0.0
yeaC	1.16
gabP	1.18
ydjP	0.8351
ydjN	1.32
ydjL	1.31
ydeS	1.25
ydeQ	1.3
ydeO	1.13
ydeN	1.22
ydeL	1.22
ydeJ	1.18
yfhS	1.24
yfhO	1.41
yfhM	1.21
yfhK	1.47
yfhI	1.37
yfhG	1.34
yflS	1.53
yflT	2.11
yfmC	1.06
yfmE	1.23
yfmG	1.39
yfmI	2.04
yfhE	0.9371
yfhC	0.8821
yfhA	0.8762
yfiY	0.6461
yfiV	0.0
yfiT	0.0
yfmK	1.18
yfmM	1.19
yfmO	0.9629
yfmQ	0.4604
yfmS	1.07
yfnA	1.11
yfhP	1.31
csbB	1.27
yfhL	1.14
yfhJ	1.19
yfhH	1.1
yfhF	1.14
pel	1.33
yfmA	1.21
yfmD	1.15
yfmF	1.14
yfmH	1.21
yfmJ	1.82
yfhD	1.15
yfhB	1.12
yfiZ	1.09
yfiW	1.28
yfiU	1.32
yfiS	1.33
yfmL	0.0
yfmN	0.0
yfmP	0.8788
yfmR	1.13
yfmT	0.0
yfnD	1.28
yisK	1.39
yisI	1.31
yisG	1.27
yisE	1.2
yisB	1.24
addA	0.0
yhdY	1.18
yhdW	1.14
yhdU	1.49
yhdS	1.08
yhdQ	1.36
yhdO	1.24
yhjQ	1.36
yhjM	1.47
yhjK	1.35
yhjI	0.0
yhjG	1.27
yhjE	0.0
yhdL	1.34
yhdJ	1.4
yhdH	1.19
yhdF	1.4
citR	1.29
phoA	1.23
yisJ	1.46
yisH	1.38
yisF	1.29
yisC	1.32
sbcD	1.19
yhjR	1.28
yhdX	1.31
yhdV	1.14
yhdT	1.21
yhdR	1.26
yhdP	1.44
yhdM	1.24
yhjO	1.5
yhjL	3.33
yhjJ	1.51
yhjH	1.52
sipV	1.32
yhjD	1.51
yhdK	1.29
yhdI	1.4
yhdG	0.0
citA	1.33
lytE	0.0
spoVR	0.0
xkdU	0.0
xkdS	1.14
xkdQ	1.27
xkdN	1.28
xkdK	1.32
xkdI	1.32
yjbX	1.31
yjbV	1.34
yjbT	1.55
yjbR	1.55
tenA	1.53
yjbP	1.48
xkdG	1.38
xkdE	0.0
xpf	0.0
xkdD	0.0
xkdB	0.0
xkdA	0.0
yjbN	1.6
yjbL	1.53
yjbJ	1.28
yjbH	1.36
yjbF	1.37
yjbE	1.34
xkdT	1.3
xkdR	1.34
xkdP	1.33
xkdM	1.22
xkdJ	1.12
xkdH	1.15
yjbW	0.9416
yjbU	1.29
yjbS	1.4
tenI	1.52
yjbQ	1.65
yjbO	0.0
xkdF	1.28
xtmA	1.34
xtrA	1.42
xkdC	1.44
xre	0.0
yjqC	0.0
yjbM	1.73
yjbK	0.0
yjbI	1.48
yjbG	1.75
mecA	0.0
yjbD	1.13
ylaM	0.0
ylaK	1.15
ylaH	1.02
ylaF	1.23
ylaD	0.0
ylaB	1.36
ykvM	1.19
ykvK	1.25
ykvI	1.23
motA	1.12
ykvE	1.32
eag	1.26
nprE	1.34
ykzC	0.0
ykzI	0.0
yktA	0.0
slp	0.0
pdhC	1.37
ykvA	0.0
ykrY	1.23
ykrW	1.2
ykrU	0.0
ykrS	1.41
ykrQ	0.0
ylaL	1.37
ylaJ	1.46
ylaG	1.31
ylaE	0.0
ylaC	0.0
ylaA	0.0
ykvL	1.15
ykvJ	0.0
clpE	0.0
motB	1.02
ykvD	0.0
spo0E	0.0
yktD	1.24
yktC	1.64
yktB	1.62
cad	0.0
pdhD	0.0
pdhB	0.0
ykrZ	0.0
ykrX	0.0
ykrV	0.0
ykrT	1.61
dat	0.0
ykrM	1.37
ymfM	1.44
ymfK	1.34
ymfI	1.39
ymfF	1.56
ymfD	1.37
spoIIIE	0.0
yloW	1.28
yloU	1.16
spoVM	1.31
yloR	1.3
ymfA	1.37
dapG	1.37
spoVFB	0.0
ymxH	0.0
ylxY	1.29
ribC	1.45
fmt	1.21
priA	0.0
yloH	0.0
yloC	0.0
ylnF	0.8564
ylnD	0.8756
ymfL	0.0
ymfJ	0.0
ymfH	0.0
ymfE	0.0
ymfC	0.0
ymfB	1.23
yloV	1.1
rpmB	1.01
yloS	0.0
yloQ	0.0
yloO	0.0
yloM	1.31
dapA	1.41
asd	1.33
spoVFA	1.49
ymxG	0.0
rpsO	0.0
truB	0.0
def	0.0
yloI	0.0
yloD	0.0
yloA	0.0
ylnE	0.0
ylnC	0.9581
yobK	1.14
yobI	1.09
yozL	1.2
yobH	1.26
rapK	1.41
yobF	1.34
yneI	1.35
ynzD	1.33
yneE	1.55
ynzC	1.25
yneA	1.39
yndN	1.37
yozI	1.28
yobD	0.0
pps	0.0
yobA	0.0
yoaZ	0.0
yoaV	0.0
yndL	0.0
yndJ	1.26
yndG	1.25
yndD	1.36
yndB	1.27
ynzA	1.12
yobJ	0.9622
yozM	0.0
yozK	0.0
phrK	0.0
yozJ	0.0
yobE	0.0
ccdA	0.0
yneF	1.39
tkt	1.34
yneB	0.0
