ybeF,0.0
glpQ,0.9513
ybdT,0.0
ybxH,1.47
ybdM,1.52
ybdK,1.77
ybxF,2.25
rplJ,2.25
rplK,1.59
rpmG,1.34
yacP,0.6514
rplL,1.94
ybdE,0.8289
ybcT,0.8481
ybcQ,0.811
ybcO,0.7152
ybcL,1.08
ybcH,0.9771
cysE,0.5493
yacN,0.6256
yacL,0.7894
sms,0.8561
yacH,1.21
glpT,1.05
ybyB,2.01
ybxI,1.1
csgA,1.23
ybdL,1.35
ybdJ,1.7
ybxB,2.57
rplA,1.76
nusG,1.54
sigH,1.05
yacO,0.5853
ybdA,0.8563
ybcS,0.8888
ybcP,1.13
ybcM,1.3
ybcI,1.38
ybcF,0.9689
gltX,0.7275
yacM,0.7133
yacK,0.755
yacI,0.9798
ctsR,1.47
ydbB,0.0
ydbA,0.0
ydaS,0.0
ydaQ,1.43
mutT,0.0
ydaN,0.9606
yciB,0.8292
nasA,1.09
nasD,1.1
nasF,0.9806
ycgS,1.24
ycgQ,1.14
ydaL,1.15
ydaJ,1.39
lrpC,1.13
ydaH,1.16
ydaF,1.41
ydaD,1.15
ycgO,0.7517
ycgM,0.7971
cah,0.8319
ycgJ,0.9974
tmrB,0.994
ycgH,0.9089
gsiB,4.5
ydaT,1.93
ydaR,2.8
ydaP,1.81
ydaO,1.1
ydaM,0.9933
yciA,1.03
nasC,1.07
nasE,1.08
ycgT,0.7347
ycgR,1.16
ycgP,1.17
ydaK,1.21
ydzA,1.32
ydaG,1.58
ydaE,1.53
ydaC,1.01
ycgN,1.08
ycgL,0.7386
ycgK,0.8995
aroI,0.9009
nadE,0.547
ycgG,0.9835
purL,0.3134
purC,0.3815
purK,0.8347
yebG,2.2
yebE,2.13
yebC,2.28
ydfK,1.13
ydfJ,1.09
ydfH,1.13
ydfF,1.25
ydfD,1.21
ydfB,1.24
guaA,0.9509
yeaD,0.8429
yeaB,0.8165
yeaA,0.414
ydjO,1.16
ydjM,0.6781
ydeT,2.75
ydeR,1.16
ydeP,1.33
ydzF,1.27
ydeM,1.26
ydeK,1.33
yexA,0.3565
purB,0.4992
purE,0.8118
yebF,1.35
yebD,1.2
yebB,1.34
nap,1.33
ydfI,0.91
ydfG,1.03
ydfE,1.21
ydfC,1.35
ydfA,3.29
yebA,1.06
yeaC,0.8428
gabP,0.6616
ydjP,0.542
ydjN,1.1
ydjL,0.7624
ydeS,0.0
ydeQ,1.24
ydeO,0.8155
ydeN,1.53
ydeL,1.29
ydeJ,1.13
yfhS,0.811
yfhO,0.0
yfhM,1.01
yfhK,1.95
yfhI,2.13
yfhG,1.36
yflS,1.08
yflT,0.8255
yfmC,0.5923
yfmE,0.849
yfmG,0.2597
yfmI,0.5599
yfhE,0.6311
yfhC,0.6275
yfhA,0.3284
yfiY,0.2062
yfiV,1.15
yfiT,0.958
yfmK,1.07
yfmM,1.55
yfmO,1.18
yfmQ,1.4
yfmS,1.59
yfnA,0.808
yfhP,1.15
csbB,1.44
yfhL,0.8845
yfhJ,1.5
yfhH,1.24
yfhF,0.7684
pel,0.9418
yfmA,0.9331
yfmD,0.8653
yfmF,0.8995
yfmH,0.7488
yfmJ,0.6635
yfhD,0.9307
yfhB,0.9217
yfiZ,0.6756
yfiW,1.07
yfiU,1.02
yfiS,1.44
yfmL,2.01
yfmN,1.11
yfmP,1.15
yfmR,1.54
yfmT,0.0
yfnD,1.28
yisK,0.0
yisI,0.0
yisG,0.0
yisE,0.915
yisB,0.899
addA,1.45
yhdY,1.8
yhdW,2.37
yhdU,0.8848
yhdS,0.8147
yhdQ,1.35
yhdO,0.7555
yhjQ,1.21
yhjM,1.56
yhjK,1.08
yhjI,1.06
yhjG,1.19
yhjE,1.45
yhdL,1.69
yhdJ,1.18
yhdH,1.02
yhdF,0.9541
citR,0.8584
phoA,0.9814
yisJ,0.7499
yisH,0.8858
yisF,0.8601
yisC,0.7827
sbcD,0.7052
yhjR,0.0
yhdX,1.11
yhdV,1.27
yhdT,0.589
yhdR,0.5519
yhdP,1.79
yhdM,2.53
yhjO,1.27
yhjL,1.58
yhjJ,1.0
yhjH,0.9841
sipV,0.9401
yhjD,1.17
yhdK,1.64
yhdI,1.08
yhdG,0.0
citA,0.8515
lytE,1.33
spoVR,1.17
xkdU,0.0
xkdS,0.0
xkdQ,0.0
xkdN,1.07
xkdK,0.8277
xkdI,0.8748
yjbX,0.8019
yjbV,0.8467
yjbT,0.9205
yjbR,0.9266
tenA,0.9196
yjbP,0.6113
xkdG,0.8877
xkdE,0.0
xpf,0.9175
xkdD,0.8463
xkdB,0.9026
xkdA,0.7549
yjbN,0.7456
yjbL,0.6989
yjbJ,1.3
yjbH,1.13
yjbF,0.893
yjbE,0.9673
xkdT,0.975
xkdR,0.7943
xkdP,0.8877
xkdM,0.8607
xkdJ,0.638
xkdH,0.5169
yjbW,0.4137
yjbU,0.938
yjbS,0.9725
tenI,0.9619
yjbQ,1.04
yjbO,0.9607
xkdF,0.9685
xtmA,1.01
xtrA,1.03
xkdC,1.1
xre,1.31
yjqC,0.6676
yjbM,0.6672
yjbK,1.37
yjbI,1.11
yjbG,0.8795
mecA,2.0
yjbD,0.6884
ylaM,0.0
ylaK,0.0
ylaH,1.35
ylaF,1.48
ylaD,0.0
ylaB,1.94
ykvM,2.68
ykvK,2.46
ykvI,1.69
motA,3.02
ykvE,5.31
eag,1.4
nprE,0.852
ykzC,0.8209
ykzI,0.8135
yktA,0.7448
slp,0.7907
pdhC,0.5243
ykvA,0.5408
ykrY,0.3726
ykrW,0.5896
ykrU,0.86
ykrS,0.4618
ykrQ,0.9446
ylaL,0.5116
ylaJ,1.03
ylaG,1.1
ylaE,1.02
ylaC,1.25
ylaA,1.72
ykvL,2.53
ykvJ,2.46
clpE,2.08
motB,2.42
ykvD,2.17
spo0E,2.67
yktD,1.65
yktC,0.7044
yktB,0.8635
cad,2.45
pdhD,0.4372
pdhB,0.3517
ykrZ,0.2889
ykrX,0.3653
ykrV,0.6657
ykrT,0.4362
dat,0.9025
ykrM,0.9617
ymfM,1.13
ymfK,0.0
ymfI,1.19
ymfF,0.6807
ymfD,0.0
spoIIIE,1.44
yloW,1.37
yloU,0.8281
spoVM,0.7155
yloR,0.5599
ymfA,1.28
dapG,0.9201
spoVFB,0.9971
ymxH,0.7307
ylxY,0.586
ribC,0.7716
fmt,1.2
priA,1.47
yloH,1.68
yloC,1.55
ylnF,0.4454
ylnD,0.4968
ymfL,1.01
ymfJ,1.18
ymfH,0.7612
ymfE,0.9239
ymfC,0.9876
ymfB,1.01
yloV,0.8943
rpmB,1.3
yloS,0.5273
yloQ,0.4003
yloO,0.6652
yloM,0.6196
dapA,0.9424
asd,0.694
spoVFA,0.7949
ymxG,0.7619
rpsO,1.81
truB,0.882
def,1.17
yloI,1.43
yloD,1.7
yloA,0.6324
ylnE,0.4988
ylnC,0.4984
yobK,1.23
yobI,1.32
yozL,0.0
yobH,0.0
rapK,1.16
yobF,2.67
yneI,1.23
ynzD,1.74
yneE,1.09
ynzC,1.24
yneA,1.04
yndN,0.9875
yozI,1.43
yobD,1.29
pps,1.08
yobA,1.24
yoaZ,1.53
yoaV,1.12
yndL,1.13
yndJ,1.33
yndG,1.55
yndD,1.3
yndB,0.9595
ynzA,1.22
yobJ,0.4471
yozM,0.9282
yozK,0.8718
phrK,0.9096
yozJ,1.32
yobE,1.64
ccdA,0.0
yneF,2.0
tkt,0.378
yneB,1.06
lexA,1.02
yndM,1.05
yozH,1.37
xynA,0.7556
yobB,1.28
penP,1.55
yoaW,1.17
yoaU,1.36
yndK,1.5
yndH,1.4
yndE,1.12
ynzB,1.14
yndA,1.16
cotC,0.9762
yonR,0.0
yonT,0.0
yonV,0.0
yopA,1.12
yopC,0.9613
yopE,0.0
yosR,1.1
yosT,1.22
yosV,0.9674
yosZ,0.8586
yotB,0.9545
yotD,0.7293
yopG,0.9685
yopI,0.9897
yopK,0.8986
yopM,1.04
yopO,1.09
yopQ,0.9478
yotF,1.05
yotH,1.02
yotJ,0.9984
yotL,1.41
yotN,1.05
yodV,1.18
yonS,2.21
yonU,1.07
yonX,1.17
yopB,1.13
yopD,1.24
yopF,0.8662
yosS,0.7688
yosU,0.8051
yosX,1.18
sspC,1.41
yotC,0.7148
yotE,0.7727
yopH,0.9222
yopJ,0.7539
yopL,0.5515
yopN,1.07
yopP,1.03
yopR,0.8438
yotG,1.15
yotI,0.985
yotK,1.06
yotM,1.2
yodU,1.2
cgeA,0.0
fer,2.44
recQ,0.0
ypbE,1.4
ypbH,1.64
ypdA,1.25
sleB,1.01
ypcP,1.03
ypdP,0.9749
ypeQ,0.0
degR,1.24
ypfP,1.13
bsaA,0.7438
ypfA,0.8322
cmk,0.8359
ypgA,0.5655
yphB,0.942
gpsA,1.43
yphF,1.01
ypgR,0.8857
yphP,1.22
ypjP,1.45
thyB,1.17
ypkP,0.9416
yplP,0.4569
ypbB,1.08
ypbD,1.12
ypbF,0.9358
ypcA,0.7819
ypdC,0.9859
ypeB,0.8791
ypdQ,0.9092
ypeP,1.11
ypzA,0.7557
cspD,0.6903
metB,0.9288
ypgQ,1.39
ypfB,0.7881
ypfD,0.733
yphA,0.9347
yphC,1.5
yphE,0.9765
spoIVA,0.6375
ilvD,0.5043
ypiP,0.9649
ypjQ,1.06
dfrA,0.8288
yplQ,0.683
ilvA,0.5625
yqgA,0.2554
yqgC,0.5658
yqgE,0.0
yqgG,0.0
yqgI,0.0
yqgK,1.53
bfmBAB,1.55
bmrR,0.8302
yqiW,0.5619
yqiY,0.4642
yqjA,1.2
yqjC,1.95
yqgL,0.9823
yqgN,0.8395
yqgP,0.8407
glcK,0.9531
yqgU,0.8087
yqgW,1.16
yqjE,0.8579
yqjG,0.6076
yqjI,0.4275
yqjK,0.7597
yqjM,0.9506
yqjO,1.33
yqgB,0.9738
sodA,1.22
pbpA,2.11
yqgH,1.05
yqgJ,1.75
yqzD,2.11
bfmBB,1.14
bmr,0.2572
yqiX,0.1067
yqiZ,0.1939
yqjB,0.8536
yqjD,0.7664
yqgM,1.19
yqgO,1.04
yqgQ,1.15
yqgT,1.17
yqgV,0.7085
yqgX,0.2994
yqjF,0.7044
yqjH,0.4979
yqjJ,0.4573
yqjL,0.8377
yqjN,0.882
yqjP,0.9018
levE,0.0
levG,0.0
adhA,0.0
yraC,0.0
yraE,0.0
yraF,0.0
yqbK,1.02
yqbM,1.46
yqbN,1.02
yqbQ,0.9828
yqbS,0.8209
yqcA,0.5513
yraH,1.04
yraJ,0.9863
yraL,1.2
yraM,0.7533
yraO,0.7573
sigZ,0.9539
yqcD,0.9589
yqxG,0.9942
yqxI,0.9762
yqcF,0.9515
yqzI,0.9671
rapE,0.9177
levF,0.0
sacC,0.9896
yraB,1.16
yraD,0.9718
adhB,0.9815
yraG,1.01
yqbL,1.19
yqdB,1.01
yqbP,0.8768
yqbR,0.9829
yqbT,0.9048
yqcB,0.8068
yraI,0.9587
yraK,1.19
csn,0.9206
yraN,0.5704
yrpG,0.9007
yrpE,0.7351
yqcE,1.3
cwlA,1.03
yqxJ,0.9326
yqcG,0.8991
phrE,1.03
yqcI,1.29
ytaF,0.0
ytbE,0.0
ytcD,0.0
ytcF,3.95
dnaB,1.73
ytxB,1.19
folC,0.7053
spoIIB,1.11
ysxA,1.21
mreC,1.37
minC,1.4
spoIVFA,0.8686
thrS,0.6095
lytS,1.55
ysbA,1.88
yscB,2.2
infC,2.36
rplT,1.94
rplU,1.83
spo0B,1.83
p`eB,1.36
pheB,1.32
yrxA,0.7243
nadB,0.716
nadA,0.6817
ytaG,1.23
ytbD,1.19
gapB,1.15
ytcG,1.51
dnaI,1.41
ytxC,1.16
comC,1.06
maf,1.32
mreB,1.26
mreD,1.11
minD,1.02
spoIVFB,0.9751
ysaA,1.14
lytT,1.39
ysbB,1.72
yscA,2.88
rpmI,2.12
ysdA,2.06
ysxB,1.31
obg,1.32
pheA,0.9046
nifS,0.7482
nadC,0.7192
yrbA,0.8576
yubA,1.84
yubC,0.0
yubE,0.0
yubG,1.35
yuaB,0.9722
gbsA,0.9196
yteP,0.9639
yteR,0.9248
yteT,1.1
yteV,1.06
ytfP,1.26
ytzG,1.05
yuaD,0.8841
yuaG,0.8722
yuaJ,2.43
glgD,0.7213
ytaB,1.01
ytxN,0.9427
ytzE,0.9097
ythQ,0.8992
ytjP,0.94
ytlP,1.41
ytlR,1.3
ytmP,1.04
yubB,1.32
yubD,1.77
yubF,2.04
yuaA,1.61
yuaC,1.48
gbsB,0.8275
yteQ,0.9579
yteS,1.19
yteU,1.33
opuD,1.69
ytgP,1.35
ytzF,1.18
yuaF,0.2143
yuaI,0.2938
glgB,0.6424
glgA,0.9213
ytaA,0.9545
cotS,1.31
ythP,0.9022
ytiP,1.11
ytkP,1.39
ytlQ,1.37
amyX,1.43
ytzH,1.65
yvrB,0.0
yvqK,0.0
yvqI,0.0
yvqG,1.7
yvqE,1.15
gerAC,0.9336
yutL,1.08
paiA,0.7087
yumD,0.6725
yumC,0.509
yuiA,0.7852
yuiC,0.7416
gerAA,0.9891
yuxN,1.06
yvqA,1.24
yvtB,1.41
yusZ,0.8912
yusW,0.7911
yuiE,0.0
yuiG,1.58
yuiI,0.4817
dhbC,0.4771
dhbB,0.4633
yukL,0.702
yvrA,0.7874
yvqJ,0.9211
yvqH,1.08
yvqF,1.1
yvqC,1.04
gerAB,1.13
yutM,1.53
paiB,0.9429
yuzG,0.8334
yumB,0.5037
yuiB,0.3483
yuiD,1.15
citG,0.7135
yvqB,1.2
yvtA,0.758
mrgA,0.4837
yusX,0.0
yusV,0.3762
yuiF,0.6746
yuiH,0.6294
dhbA,0.451
dhbE,0.5593
yukM,0.5807
yukJ,0.4232
yvyD,0.5852
cccB,1.39
ftsX,0.0
yvzD,0.0
yvkA,0.0
yvkC,1.18
yvfH,0.7713
lacR,1.12
yvfM,0.8187
yvfO,0.824
yvfS,0.8167
yvfU,0.7627
uvrB,1.1
yvzB,1.15
yvlA,0.6152
yvlC,0.8564
yvmB,0.9456
cypX,0.8897
yvfW,0.8584
yvbX,1.08
yvbV,0.8416
yvbT,0.8437
araE,0.68
gap,0.6264
yvjA,1.3
ftsE,1.35
yvjB,1.01
yvjD,1.38
yvkB,1.5
csbA,1.64
yvfI,1.05
yvfL,0.8489
lacA,0.815
yvfR,0.8161
yvfT,0.6719
yvfV,0.5215
uvrA,0.9485
yvkN,0.922
yvlB,0.888
yvmA,1.08
yvmC,1.0
yvnA,0.8384
yvbY,0.721
yvbW,0.6892
yvbU,0.7571
araR,1.09
yvbQ,0.6657
pgk,0.2285
ywhR,0.0
sbo,0.0
argS,1.1
fnr,0.0
ywiD,1.16
narH,1.17
ywpD,1.23
ywpF,1.23
ywpH,1.14
ywqB,1.17
ywqD,0.9087
ywqF,0.7111
narI,0.9188
ywjA,0.9514
ywjC,1.36
ywjE,1.6
rpoE,1.67
ywjG,2.0
ywqH,0.0
ywqJ,1.71
ywqL,1.15
ywqN,1.33
ywrA,1.02
ywrC,1.0
ywiA,0.9279
ywiB,0.8016
narK,0.9721
ywiC,1.0
narG,1.03
narJ,1.13
ywpE,1.18
ywpG,1.24
ywpJ,1.41
ywqC,1.63
