ybeF,1.99
glpQ,1.81
ybdT,1.75
ybxH,1.28
ybdM,1.03
ybdK,0.6243
ybxF,1.97
rplJ,0.5172
rplK,2.3
rpmG,2.87
yacP,1.63
rplL,0.8639
ybdE,0.5634
ybcT,0.683
ybcQ,0.5884
ybcO,1.32
ybcL,0.9907
ybcH,0.7647
cysE,2.11
yacN,5.06
yacL,4.24
sms,3.97
yacH,5.54
glpT,1.11
ybyB,4.42
ybxI,0.8186
csgA,0.9009
ybdL,0.9969
ybdJ,0.6795
ybxB,2.91
rplA,2.21
nusG,3.38
sigH,2.47
yacO,1.45
ybdA,0.4843
ybcS,0.5858
ybcP,0.5411
ybcM,0.2266
ybcI,0.412
ybcF,0.5923
gltX,2.42
yacM,2.93
yacK,2.47
yacI,3.07
ctsR,2.72
ydbB,1.52
ydbA,1.95
ydaS,3.89
ydaQ,1.1
mutT,0.0
ydaN,1.83
yciB,1.54
nasA,1.98
nasD,1.29
nasF,1.25
ycgS,1.76
ycgQ,2.4
ydaL,1.38
ydaJ,0.926
lrpC,0.8606
ydaH,1.28
ydaF,0.9726
ydaD,2.03
ycgO,2.23
ycgM,1.54
cah,1.66
ycgJ,1.8
tmrB,1.79
ycgH,1.46
gsiB,0.0
ydaT,1.62
ydaR,0.9108
ydaP,1.93
ydaO,0.93
ydaM,1.08
yciA,1.59
nasC,1.31
nasE,1.02
ycgT,1.48
ycgR,1.78
ycgP,1.61
ydaK,1.03
ydzA,1.0
ydaG,1.93
ydaE,1.27
ydaC,1.01
ycgN,0.8924
ycgL,0.8562
ycgK,1.05
aroI,1.02
nadE,0.8081
ycgG,0.8294
purL,0.2442
purC,0.2092
purK,0.1788
yebG,0.7862
yebE,0.7352
yebC,0.9495
ydfK,0.0
ydfJ,1.85
ydfH,2.13
ydfF,1.47
ydfD,1.73
ydfB,1.83
guaA,0.4051
yeaD,0.5307
yeaB,0.5929
yeaA,0.3192
ydjO,0.5889
ydjM,1.67
ydeT,1.44
ydeR,1.65
ydeP,3.16
ydzF,1.81
ydeM,1.37
ydeK,1.25
yexA,0.1854
purB,0.09888
purE,0.2466
yebF,0.7494
yebD,0.6447
yebB,0.5336
nap,1.28
ydfI,1.43
ydfG,1.77
ydfE,1.42
ydfC,1.39
ydfA,1.37
yebA,0.5546
yeaC,0.629
gabP,0.9862
ydjP,0.3268
ydjN,1.02
ydjL,0.989
ydeS,1.07
ydeQ,1.02
ydeO,0.8651
ydeN,1.06
ydeL,0.795
ydeJ,0.7504
yfhS,3.49
yfhO,5.35
yfhM,3.69
yfhK,10.87
yfhI,2.97
yfhG,2.27
yflS,2.35
yflT,8.14
yfmC,0.4777
yfmE,0.9075
yfmG,0.4424
yfmI,0.729
yfhE,1.62
yfhC,1.45
yfhA,1.23
yfiY,1.04
yfiV,2.01
yfiT,2.03
yfmK,1.12
yfmM,0.9788
yfmO,1.18
yfmQ,0.2791
yfmS,0.8754
yfnA,0.6544
yfhP,2.1
csbB,3.1
yfhL,2.46
yfhJ,2.77
yfhH,1.78
yfhF,1.76
pel,0.9776
yfmA,1.06
yfmD,0.7993
yfmF,0.7608
yfmH,1.31
yfmJ,0.9121
yfhD,1.33
yfhB,1.29
yfiZ,1.13
yfiW,1.67
yfiU,1.07
yfiS,1.22
yfmL,0.5404
yfmN,0.708
yfmP,0.5373
yfmR,0.536
yfmT,0.0
yfnD,0.6769
yisK,1.64
yisI,2.36
yisG,0.0
yisE,2.67
yisB,3.14
addA,0.6985
yhdY,1.05
yhdW,0.9328
yhdU,0.9778
yhdS,0.9536
yhdQ,0.5476
yhdO,0.606
yhjQ,2.06
yhjM,2.11
yhjK,2.25
yhjI,2.03
yhjG,1.72
yhjE,1.27
yhdL,0.9084
yhdJ,1.25
yhdH,0.9684
yhdF,0.9459
citR,0.884
phoA,1.1
yisJ,1.67
yisH,1.51
yisF,1.8
yisC,1.75
sbcD,2.68
yhjR,1.56
yhdX,1.14
yhdV,0.5828
yhdT,0.7083
yhdR,0.614
yhdP,0.5693
yhdM,0.7487
yhjO,1.33
yhjL,2.66
yhjJ,1.41
yhjH,1.34
sipV,0.7916
yhjD,1.06
yhdK,0.5904
yhdI,0.5393
yhdG,0.7196
