0,ybeF
1,glpQ
2,ybdT
3,ybxH
4,ybdM
5,ybdK
6,ybxF
7,rplJ
8,rplK
9,rpmG
10,yacP
11,rplL
12,ybdE
13,ybcT
14,ybcQ
15,ybcO
16,ybcL
17,ybcH
18,cysE
19,yacN
20,yacL
21,sms
22,yacH
23,glpT
24,ybyB
25,ybxI
26,csgA
27,ybdL
28,ybdJ
29,ybxB
30,rplA
31,nusG
32,sigH
33,yacO
34,ybdA
35,ybcS
36,ybcP
37,ybcM
38,ybcI
39,ybcF
40,gltX
41,yacM
42,yacK
43,yacI
44,ctsR
45,ydbB
46,ydbA
47,ydaS
48,ydaQ
49,mutT
50,ydaN
51,yciB
52,nasA
53,nasD
54,nasF
55,ycgS
56,ycgQ
57,ydaL
58,ydaJ
59,lrpC
60,ydaH
61,ydaF
62,ydaD
63,ycgO
64,ycgM
65,cah
66,ycgJ
67,tmrB
68,ycgH
69,gsiB
70,ydaT
71,ydaR
72,ydaP
73,ydaO
74,ydaM
75,yciA
76,nasC
77,nasE
78,ycgT
79,ycgR
80,ycgP
81,ydaK
82,ydzA
83,ydaG
84,ydaE
85,ydaC
86,ycgN
87,ycgL
88,ycgK
89,aroI
90,nadE
91,ycgG
92,purL
93,purC
94,purK
95,yebG
96,yebE
97,yebC
98,ydfK
99,ydfJ
100,ydfH
101,ydfF
102,ydfD
103,ydfB
104,guaA
105,yeaD
106,yeaB
107,yeaA
108,ydjO
109,ydjM
110,ydeT
111,ydeR
112,ydeP
113,ydzF
114,ydeM
115,ydeK
116,yexA
117,purB
118,purE
119,yebF
120,yebD
121,yebB
122,nap
123,ydfI
124,ydfG
125,ydfE
126,ydfC
127,ydfA
128,yebA
129,yeaC
130,gabP
131,ydjP
132,ydjN
133,ydjL
134,ydeS
135,ydeQ
136,ydeO
137,ydeN
138,ydeL
139,ydeJ
140,yfhS
141,yfhO
142,yfhM
143,yfhK
144,yfhI
145,yfhG
146,yflS
147,yflT
148,yfmC
149,yfmE
150,yfmG
151,yfmI
152,yfhE
153,yfhC
154,yfhA
155,yfiY
156,yfiV
157,yfiT
158,yfmK
159,yfmM
160,yfmO
161,yfmQ
162,yfmS
163,yfnA
164,yfhP
165,csbB
166,yfhL
167,yfhJ
168,yfhH
169,yfhF
170,pel
171,yfmA
172,yfmD
173,yfmF
174,yfmH
175,yfmJ
176,yfhD
177,yfhB
178,yfiZ
179,yfiW
180,yfiU
181,yfiS
182,yfmL
183,yfmN
184,yfmP
185,yfmR
186,yfmT
187,yfnD
188,yisK
189,yisI
190,yisG
191,yisE
192,yisB
193,addA
194,yhdY
195,yhdW
196,yhdU
197,yhdS
198,yhdQ
199,yhdO
200,yhjQ
201,yhjM
202,yhjK
203,yhjI
204,yhjG
205,yhjE
206,yhdL
207,yhdJ
208,yhdH
209,yhdF
210,citR
211,phoA
212,yisJ
213,yisH
214,yisF
215,yisC
216,sbcD
217,yhjR
218,yhdX
219,yhdV
220,yhdT
221,yhdR
222,yhdP
223,yhdM
224,yhjO
225,yhjL
226,yhjJ
227,yhjH
228,sipV
229,yhjD
230,yhdK
231,yhdI
232,yhdG
233,citA
234,lytE
235,spoVR
236,xkdU
237,xkdS
238,xkdQ
239,xkdN
240,xkdK
241,xkdI
242,yjbX
243,yjbV
244,yjbT
245,yjbR
246,tenA
247,yjbP
248,xkdG
249,xkdE
250,xpf
251,xkdD
252,xkdB
253,xkdA
254,yjbN
255,yjbL
256,yjbJ
257,yjbH
258,yjbF
259,yjbE
260,xkdT
261,xkdR
262,xkdP
263,xkdM
264,xkdJ
265,xkdH
266,yjbW
267,yjbU
268,yjbS
269,tenI
270,yjbQ
271,yjbO
272,xkdF
273,xtmA
274,xtrA
275,xkdC
276,xre
277,yjqC
278,yjbM
279,yjbK
280,yjbI
281,yjbG
282,mecA
283,yjbD
284,ylaM
285,ylaK
286,ylaH
287,ylaF
288,ylaD
289,ylaB
290,ykvM
291,ykvK
292,ykvI
293,motA
294,ykvE
295,eag
296,nprE
297,ykzC
298,ykzI
299,yktA
300,slp
301,pdhC
302,ykvA
303,ykrY
304,ykrW
305,ykrU
306,ykrS
307,ykrQ
308,ylaL
309,ylaJ
310,ylaG
311,ylaE
312,ylaC
313,ylaA
314,ykvL
315,ykvJ
316,clpE
317,motB
318,ykvD
319,spo0E
320,yktD
321,yktC
322,yktB
323,cad
324,pdhD
325,pdhB
326,ykrZ
327,ykrX
328,ykrV
329,ykrT
330,dat
331,ykrM
332,ymfM
333,ymfK
334,ymfI
335,ymfF
336,ymfD
337,spoIIIE
338,yloW
339,yloU
340,spoVM
341,yloR
342,ymfA
343,dapG
344,spoVFB
345,ymxH
346,ylxY
347,ribC
348,fmt
349,priA
350,yloH
351,yloC
352,ylnF
353,ylnD
354,ymfL
355,ymfJ
356,ymfH
357,ymfE
358,ymfC
359,ymfB
360,yloV
361,rpmB
362,yloS
363,yloQ
364,yloO
365,yloM
366,dapA
367,asd
368,spoVFA
369,ymxG
370,rpsO
371,truB
372,def
373,yloI
374,yloD
375,yloA
376,ylnE
377,ylnC
378,yobK
379,yobI
380,yozL
381,yobH
382,rapK
383,yobF
384,yneI
385,ynzD
386,yneE
387,ynzC
388,yneA
389,yndN
390,yozI
391,yobD
392,pps
393,yobA
394,yoaZ
395,yoaV
396,yndL
397,yndJ
398,yndG
399,yndD
400,yndB
401,ynzA
402,yobJ
403,yozM
404,yozK
405,phrK
406,yozJ
407,yobE
408,ccdA
409,yneF
410,tkt
411,yneB
412,lexA
413,yndM
414,yozH
415,xynA
416,yobB
417,penP
418,yoaW
419,yoaU
420,yndK
421,yndH
422,yndE
423,ynzB
424,yndA
425,cotC
426,yonR
427,yonT
428,yonV
429,yopA
430,yopC
431,yopE
432,yosR
433,yosT
434,yosV
435,yosZ
436,yotB
437,yotD
438,yopG
439,yopI
440,yopK
441,yopM
442,yopO
443,yopQ
444,yotF
445,yotH
446,yotJ
447,yotL
448,yotN
449,yodV
450,yonS
451,yonU
452,yonX
453,yopB
454,yopD
455,yopF
456,yosS
457,yosU
458,yosX
459,sspC
460,yotC
461,yotE
462,yopH
463,yopJ
464,yopL
465,yopN
466,yopP
467,yopR
468,yotG
469,yotI
470,yotK
471,yotM
472,yodU
473,cgeA
474,fer
475,recQ
476,ypbE
477,ypbH
478,ypdA
479,sleB
480,ypcP
481,ypdP
482,ypeQ
483,degR
484,ypfP
485,bsaA
486,ypfA
487,cmk
488,ypgA
489,yphB
490,gpsA
491,yphF
492,ypgR
493,yphP
494,ypjP
495,thyB
496,ypkP
497,yplP
498,ypbB
499,ypbD
500,ypbF
501,ypcA
502,ypdC
