	fluxes
EX_ac_e	1.6363636363636365
EX_fe3_e	0.0
EX_glc__D_e	-0.818181818181818
EX_glu__L_e	0.0
EX_ca2_e	0.0
EX_cit_e	0.0
EX_so4_e	0.0
EX_co2_e	1.6363636363636362
EX_glyclt_e	0.0
EX_trp__L_e	0.0
EX_h2o_e	1.6363636363636356
EX_h_e	1.6363636363636285
2S6HCCi	0.0
FDH	0.0
EX_k_e	0.0
FBA	0.818181818181818
FBA2	0.0
ACACT2r	0.0
ACACT3r	0.0
ACACT4r	0.0
ACACT5r_1	0.0
ACACT6r_1	0.0
ACACT7r	0.0
ACACT1r	0.0
ACCOAC	0.0
ACGK	0.0
FOLD3	0.0
ACt2r	-1.6363636363636362
ACKr	-1.6363636363636365
ACLDC	0.0
ACOAD2	0.0
ACOAD1	0.0
ACOADH2	0.0
ACOTA	0.0
ARGKr	0.0
ARGPt6	0.0
APATi	0.0
APSR	0.0
APTA1i	0.0
ACTD2	0.0
ADNK1	0.0
ADCL	0.0
ADCS	0.0
ADK1	0.0
EX_mg2_e	0.0
AMMQT7	0.0
ADPDA	0.0
ADSL2r	0.0
ADSL1r	0.0
ADSS	0.0
ARGSL	0.0
ARGSS	0.0
AGPATr_BS	0.0
AGPR	0.0
AICART	0.0
AKGDH	0.0
AIRC1	0.0
ATPM	9.0
BIOMASS_BS_10	0.0
ALAALAr	0.0
AKP1	0.0
ALAR	0.0
ALATA_L	0.0
CO2t	-1.6363636363636362
EX_o2_e	-1.6363636363636362
ASAD	0.0
ASNS1	0.0
ASPCT	0.0
ASPK	0.0
ASPO6	0.0
ASPTA	0.0
ATPPRT	0.0
ATPS4r	5.727272727272728
EX_pi_e	-1.1077318041530444e-15
DDPA	0.0
CTPS1	0.0
CYOR3m	3.272727272727272
CAT	0.0
CYOO3	3.2727272727272725
CYSTGL	0.0
CYSTS	0.0
CBPS	0.0
CYTDK1	0.0
CDGPT_BS	0.0
CDPDSP_BS	0.0
CDPMEK	0.0
CHORM	0.0
CHORS	0.0
CYTK1	0.0
CYTOM	0.0
CLPNS2_BS	0.0
DAPDC	0.0
DAPE	0.0
FRTT	0.0
DGK1	0.0
DGNSK	0.0
DHAD1	0.0
G3POA_BS	0.0
DHAD2	0.0
DHDPRy	0.0
DHDPS	0.0
G5SADs	0.0
DHFR	0.0
DHFS	0.0
DHNAOT7	0.0
GGTT	0.0
GCALDD	0.0
GAPD	1.636363636363636
DHNPA_1	0.0
DHORTS	0.0
DHORDi	0.0
GK1	0.0
GK2	0.0
FE3t	0.0
DHQTi	0.0
DHQS	0.0
H2Ot	-1.6363636363636356
HCO3E	0.0
FTHFD	0.0
FUM	0.0
G1PACT	0.0
GRTT	0.0
G3PCT	0.0
G3PD1ir	0.0
G6PDH2r	0.0
GLNS	0.0
GLUPRT	0.0
GLUDxi	0.0
GALUi	0.0
DMATT	0.0
GLUR	0.0
GLUt2r	0.0
GARFT	0.0
GF6PTA	0.0
DMPPS	0.0
GHMT2r	0.0
GLYCLTt2r	0.0
GLYK	0.0
GMPS2	0.0
IMPC	0.0
DRPA	0.0
IPDPS	0.0
DTMPK	0.0
GTPCI	0.0
DURIK1	0.0
GUAPRT	0.0
HACD2	0.0
HACD1_1	0.0
HEXTT	0.0
DXPRIi	0.0
HISTD	0.0
DXPS	0.0
HISTP	0.0
ECOAH1_1	0.0
ECOAH2	0.0
HPPK	0.0
ECOAH2c	0.0
HSDy	0.0
HSK	0.0
HSST	0.0
ECOAH3	0.0
HSTPTr	0.0
ECOAH4	0.0
IG3PS_1	0.0
IGPDH_1	0.0
IMPD	0.0
ILETA	0.0
ECOAH5_1	0.0
ECOAH6	0.0
LIPO1S24_BS	0.0
IPMD	0.0
ECOAH7	0.0
IPPS	0.0
LIPO2S24_BS	0.0
LIPO4S24_BS	0.0
IPPMIa	0.0
IPPMIb	0.0
KARA1	0.0
KARA2	0.0
LYSLG_BS	0.0
KAS1	0.0
ENO	1.636363636363636
MECDPS	0.0
LEUTA	0.0
METS	0.0
O2t	1.6363636363636362
LIPO3S24_BS	0.0
OMCDC	0.0
MGt5	0.0
PAP_BS	0.0
PGL	0.0
MTHFC	0.0
MTHFD	0.0
PGPPH_BS	0.0
MTHFR3	0.0
MCSNAH	0.0
NADK	0.0
NADH4	3.272727272727272
MDH	0.0
ORNTAC_1	0.0
ME2	0.0
NADS1	0.0
MECDPDH2	0.0
MEPCT	0.0
NDPK7	0.0
NDPK3	0.0
NDPK4	0.0
NDPK5	0.0
NDPK1	0.0
NDPK2	0.0
PPTGS_BS	0.0
PPTT	0.0
PGI	0.818181818181818
PYNP1	0.0
PHETA1	0.0
PTAr	1.6363636363636365
NNATr	0.0
SO4t2	0.0
PIt2r	1.1077318041530444e-15
NNDPR	0.0
NPHS	0.0
QULNS	0.0
PPA	0.0
OCBT_1	0.0
PPM	0.0
PPM2	0.0
PPND	0.0
RNDR4	0.0
RPI	0.0
SADT	0.0
PPNDH	0.0
PRAGSr	0.0
PRAIS_1	0.0
PRATPP	0.0
PRASCSi	0.0
PRFGS_1	0.0
PRMICI	0.0
OMPDC	0.0
SHK3Dr	0.0
SHKK	0.0
PRPPS	0.0
SHSL2	0.0
SHSL4r	0.0
PSCVT	0.0
PSDC_BS	0.0
PSERT	0.0
ORPT	0.0
PYK	0.8181818181818181
OIVD1r	0.0
SUCBZL	0.0
SUCBZS	0.0
SUCD1	0.0
OIVD2	0.0
SUCD5_BS	0.0
SUCOAS	0.0
OIVD3	0.0
P5CR	0.0
TMDPP	0.0
UAGDP	0.0
TYRTA	0.0
TECA1S45	0.0
SULR_1	0.0
TECA4S_BS	0.0
THRS	0.0
TKT1	0.0
TKT2	0.0
TMDS	0.0
TPI	0.818181818181818
TRDR	0.0
TRPt2r	0.0
UAAGDS	0.0
UAG2E	0.0
UAGPT3	0.0
UAG4E	0.0
UAGCVT	0.0
UAMAGS	0.0
UAMAS	0.0
UAPGR	0.0
UDCPDP	0.0
UGMDDS	0.0
UGT1_BS	0.0
UGT2_BS	0.0
UGT_BS	0.0
ACLS	0.0
ACHBS	0.0
NTD5	0.0
URIDK2r_copy2	0.0
VALTA	0.0
UMPK	0.0
FRUK	0.0
FACOAL140_ISO	0.0
FACOAL150_ISO	0.0
ACOAD3	0.0
ACOAD4_1	0.0
ACOAD5_1	0.0
ACOAD6	0.0
ACOAD7	0.0
DADNK	0.0
GLCpts	0.818181818181818
HACD3	0.0
HACD4	0.0
HACD5	0.0
HACD6	0.0
HACD7	0.0
ICHORS	0.0
FACOAL170_ISO	0.0
FACOAL170_anteiso	0.0
FACOAL180_2	0.0
KAS13	0.0
FACOAL150_anteiso	0.0
FACOAL160_ISO	0.0
KAS3	0.0
KAS4	0.0
KAS6	0.0
KAS11	0.0
KAS12	0.0
PAPPT3	0.0
PDH	1.6363636363636365
PUNP4	0.0
PFK	0.818181818181818
PRAMPC_1	0.0
PSP_L	0.0
PGAMT	0.0
TECA2S45	0.0
RNDR1	0.0
PGMT	0.0
PGCD	0.0
RNDR3	0.0
TECA3S45	0.0
GND	0.0
PGK	-1.6363636363636362
PGM	-1.6363636363636358
PHCYT_BS	0.0
