gene_id	value
BSU36850	0.6439
BSU07840	1.06
BSU16730	1.22
BSU16740	0.8844
BSU36830	0.6841
BSU36800	0.8253
BSU36820	0.7303
BSU36860	0.7582
BSU33310	0.8391
BSU36870	0.7819
BSU36880	1.1
BSU30820	1.3
BSU31060	0.8081
BSU39260	0.7929
BSU06310	0.7844
BSU07490	0.9784
BSU19350	0.6131
BSU39610	0.8201
BSU38040	0.8512
BSU39380	1.45
BSU02090	0.82
BSU03040	0.9808
BSU18800	0.9901
BSU38560	1.15
BSU40110	0.8094
BSU30200	1.04
BSU39860	0.816
BSU38830	0.9539
BSU19310	1.07
BSU15730	1.14
BSU16670	1.19
BSU27200	1.12
BSU06170	0.9183
BSU08850	0.6817
BSU14400	0.9183
BSU24170	0.7997
BSU24340	0.952
BSU29200	1.11
BSU22440	1.28
BSU24350	0.9154
BSU13910	0.9255
BSU13900	1.15
BSU27070	1.24
BSU27040	0.9106
BSU27050	0.9258
BSU27060	0.8236
BSU15650	1.03
BSU08820	0.8889
BSU38630	0.6715
BSU11210	0.0
BSU11200	0.5365
BSU07920	1.02
BSU33170	0.857
BSU33180	1.22
BSU36010	0.9586
BSU33160	0.955
BSU03930	1.04
BSU15510	0.898
BSU28310	0.4955
BSU11230	0.0
BSU15520	1.03
BSU29470	0.9744
BSU11240	0.8264
BSU36000	1.03
BSU24150	1.14
BSU26650	1.11
BSU18260	0.859
BSU16920	1.34
BSU04520	1.1
BSU02270	1.27
BSU37170	1.1
BSU18000	0.8245
BSU11220	0.5546
BSU00500	1.28
BSU38580	1.01
BSU29680	0.0
BSU29710	0.0
BSU38590	0.7481
BSU29700	1.13
BSU38390	0.7832
BSU08070	1.04
BSU29690	1.22
BSU08710	1.1
BSU38570	0.6256
BSU08090	1.03
BSU30240	1.01
BSU33710	1.18
BSU08060	0.9833
BSU28120	0.9411
BSU33700	1.08
BSU08080	0.9917
BSU35740	0.8577
BSU33720	1.19
BSU31050	0.9446
BSU30440	0.982
BSU30430	1.1
BSU30450	1.21
BSU22830	1.01
BSU22690	0.6121
BSU30410	0.9008
BSU30420	0.9086
BSU09300	1.15
BSU22710	0.6561
BSU07610	0.9869
BSU13130	0.8469
BSU39060	0.9825
BSU26860	0.9388
BSU00760	1.02
BSU00740	0.9705
BSU00750	0.9712
BSU37240	0.8595
BSU14520	1.06
BSU25500	1.39
BSU01370	1.05
BSU31350	0.883
BSU36130	0.8134
BSU36120	1.03
BSU09440	0.9601
BSU29140	1.22
BSU38710	0.9038
BSU14900	0.728
BSU38200	0.9836
BSU14910	0.7559
BSU14920	0.7589
BSU30300	0.8902
BSU14890	0.7515
BSU38190	0.734
BSU22540	0.8085
BSU22560	0.9667
BSU22550	1.13
BSU11880	0.7114
BSU27610	1.28
BSU38750	0.8639
BSU30710	0.9911
BSU30720	0.9684
BSU06440	0.9149
BSU38760	0.8261
BSU38160	0.7188
BSU29020	1.01
BSU38140	0.7627
BSU38170	0.7544
BSU38150	0.8162
BSU06510	0.7573
BSU25300	1.14
BSU02230	0.9412
BSU27330	1.39
BSU30980	0.7341
BSU39410	0.8339
BSU01780	1.8
BSU40420	0.9908
BSU32180	1.25
BSU18410	0.7922
BSU22890	1.42
BSU36900	0.6714
BSU35010	0.7929
BSU20250	0.8035
BSU40070	1.01
BSU03950	0.7203
BSU19520	0.9793
BSU30940	0.9816
BSU11190	0.0
BSU08790	1.03
BSU00730	1.12
BSU30950	0.9263
BSU02460	1.06
BSU13890	1.14
BSU06520	0.5155
BSU12920	0.6053
BSU06420	1.25
BSU06430	0.9761
BSU30960	0.864
BSU25310	1.05
BSU30970	0.9706
BSU17460	0.9261
BSU14610	1.3
BSU23380	0.936
BSU19370	1.33
BSU19360	1.03
BSU27460	1.19
BSU27430	0.9865
BSU18540	0.6366
BSU30210	1.09
BSU27450	1.08
BSU25580	1.0
BSU27440	1.13
BSU07570	0.9362
BSU22090	0.9015
BSU09410	0.9165
BSU22110	1.03
BSU12330	0.8711
BSU05740	1.15
BSU13120	1.09
BSU21870	0.6719
BSU18470	0.8743
BSU32000	0.541
BSU31930	1.21
BSU31980	0.6058
BSU22490	1.55
BSU16770	0.8933
BSU31400	0.7928
BSU21810	1.04
BSU28080	0.7941
BSU18120	0.8804
BSU15540	1.12
BSU27810	0.928
BSU09530	1.08
BSU15500	0.8031
BSU39780	0.9345
BSU23080	1.12
BSU22700	0.7242
BSU26970	1.01
BSU12940	0.7326
BSU27010	1.03
BSU12950	0.6214
BSU12960	0.6467
BSU12930	0.7907
BSU22130	1.03
BSU22140	0.9586
BSU01530	0.8414
BSU25900	1.19
BSU24280	0.9014
BSU35620	0.9261
BSU17410	0.8751
BSU35920	1.09
BSU35940	1.18
BSU35960	1.15
BSU22670	0.9459
BSU35950	1.08
BSU22680	0.9696
BSU35930	1.08
BSU00280	1.19
BSU06490	0.6696
BSU30220	0.8536
BSU37060	1.25
BSU26810	1.36
BSU39400	1.07
BSU17660	1.25
BSU28390	1.06
BSU18450	0.5565
BSU15570	1.09
BSU20020	1.0
BSU18440	0.5776
BSU28170	0.9065
BSU33400	1.53
BSU18220	1.0
BSU29050	1.15
BSU00920	1.07
BSU02340	1.03
BSU28800	0.7529
BSU22100	1.05
BSU39270	0.8989
BSU10220	1.03
BSU33900	0.7517
BSU39450	1.05
BSU28740	0.7694
BSU28750	0.99
BSU28730	1.04
BSU04340	1.47
BSU18250	1.05
BSU02140	0.9721
BSU33960	0.8167
BSU28560	1.06
BSU17000	1.07
BSU10360	1.19
BSU37120	0.7771
BSU34190	0.9293
BSU39670	1.01
BSU03060	0.8703
BSU29440	0.9578
BSU29450	0.7007
BSU40190	0.9377
BSU10130	0.0
BSU09280	1.37
BSU12160	1.32
BSU40330	0.8983
BSU09290	1.54
BSU18570	0.8031
BSU06360	0.6718
BSU40060	0.9999
BSU37760	0.8285
BSU27220	0.9672
BSU33800	1.1
BSU21900	0.9322
BSU01620	1.11
BSU33830	1.34
BSU01610	1.04
BSU01630	0.7025
BSU03000	1.11
BSU02990	1.23
BSU33820	1.17
BSU00680	0.8921
BSU33810	1.26
BSU02980	1.07
BSU08450	0.803
BSU30070	1.24
BSU08460	0.5495
BSU08440	0.379
BSU05340	1.56
BSU24160	0.0
BSU14870	0.8925
BSU33320	0.5956
BSU14880	0.738
BSU36030	0.9577
BSU03800	1.04
BSU16750	0.635
BSU23580	1.01
BSU07500	0.8887
BSU39920	0.8142
BSU33290	0.7715
BSU24850	1.04
BSU03810	0.8717
BSU07510	1.04
BSU30540	1.37
BSU03820	0.9039
BSU22410	0.9972
BSU03830	0.7473
BSU07520	0.6561
BSU07990	1.31
BSU33300	0.9986
BSU39350	1.0
BSU15490	0.9656
BSU03790	0.7475
BSU28470	0.8819
BSU16760	0.7737
BSU34910	0.5987
BSU31322	1.04
BSU39390	0.0
BSU27870	0.6303
BSU28510	0.9477
BSU02400	0.8848
BSU28720	0.9018
BSU28150	0.9648
BSU23570	1.06
BSU22370	0.9713
BSU34920	0.5218
BSU36810	0.7961
BSU17150	0.7434
BSU18230	1.09
BSU36840	0.6911
BSU06970	0.951
BSU11710	0.8545
BSU38500	1.18
BSU13960	0.8106
BSU38530	1.08
BSU37780	0.7958
BSU38510	0.8724
BSU38520	1.18
BSU00790	0.8443
BSU00270	1.12
BSU32260	0.5092
BSU32240	0.5372
BSU22600	0.0
BSU02290	0.8899
BSU10870	1.13
BSU10020	0.704
BSU22620	0.8071
BSU34890	0.4182
BSU03990	0.8779
BSU35780	1.16
BSU04740	1.51
BSU31990	0.4292
BSU30830	1.37
BSU31970	0.3495
BSU30280	1.08
BSU19630	1.54
BSU03070	0.8883
BSU34870	0.5956
BSU34900	0.5753
BSU22660	1.0
BSU30290	1.13
BSU30270	1.15
BSU29600	1.22
BSU26700	1.08
BSU26690	1.01
BSU26710	0.978
BSU27850	0.5751
BSU00090	0.7249
BSU24130	1.12
BSU39700	1.1
BSU24140	0.9084
BSU39720	1.07
BSU23250	0.8344
BSU28790	1.07
BSU39750	0.9665
BSU39730	0.9543
BSU28780	0.9085
BSU04000	0.7965
BSU39740	1.09
BSU29220	1.3
BSU39710	0.9866
BSU17390	0.6873
BSU28270	0.5546
BSU30550	1.17
BSU28260	0.5328
BSU17380	0.9504
BSU28250	0.6723
BSU28280	0.4341
BSU39370	0.8394
BSU36920	0.8908
BSU28290	0.5481
BSU04030	0.9171
BSU06150	0.8575
BSU15910	1.08
BSU00930	0.8313
BSU00380	0.9132
BSU08000	1.7
BSU15900	1.34
BSU24740	0.8463
BSU25660	1.17
BSU03981	0.5827
BSU34660	0.9174
BSU01580	1.21
BSU33390	0.8903
BSU25020	1.17
BSU33370	0.9718
BSU26600	1.23
BSU33380	1.14
BSU22430	0.9955
BSU26590	1.13
BSU24310	0.9826
BSU30790	0.9027
BSU28430	0.9489
BSU32100	0.6813
BSU28440	1.22
BSU28450	1.05
BSU16090	0.951
BSU32200	1.14
BSU16100	0.8483
BSU03130	1.02
BSU38050	0.992
BSU02750	1.05
BSU01680	0.916
BSU02760	0.9601
BSU09850	1.28
BSU37110	0.8868
BSU11640	1.53
BSU35710	1.2
BSU35760	1.11
BSU22730	0.92
BSU35720	0.8751
BSU27860	0.6672
BSU35530	1.1
BSU38060	0.8369
BSU35750	1.08
BSU35730	1.06
BSU37320	0.9163
BSU35690	0.9999
BSU03330	0.6876
BSU35680	1.05
BSU30800	1.02
BSU35590	1.06
BSU03320	0.9064
BSU35600	0.9649
BSU03310	0.7852
BSU37280	0.9906
BSU35570	1.14
BSU37260	1.01
BSU35550	0.839
BSU37270	0.8326
BSU35540	0.9782
BSU03290	0.7095
BSU35609	1.12
BSU03300	0.5709
BSU16990	1.03
BSU11250	0.465
BSU21770	0.7615
BSU32250	0.5227
BSU17890	1.17
BSU21820	1.01
BSU17680	1.15
BSU15550	0.9814
BSU11650	0.9942
