gene_id	value
BSU36850	1.0
BSU07840	1.12
BSU16730	1.1
BSU16740	0.8691
BSU36830	0.9011
BSU36800	0.7559
BSU36820	0.7518
BSU36860	0.7508
BSU33310	1.08
BSU36870	1.0
BSU36880	1.26
BSU30820	1.11
BSU31060	0.8487
BSU39260	0.9288
BSU06310	0.0
BSU07490	0.8149
BSU19350	0.6566
BSU39610	0.8578
BSU38040	0.9497
BSU39380	0.9065
BSU02090	0.8163
BSU03040	0.7016
BSU18800	1.19
BSU38560	0.9649
BSU40110	0.8679
BSU30200	0.9705
BSU39860	0.8636
BSU38830	0.8461
BSU19310	1.08
BSU15730	1.41
BSU16670	1.2
BSU27200	1.11
BSU06170	0.8928
BSU08850	0.8649
BSU14400	0.8813
BSU24170	0.0
BSU24340	0.9228
BSU29200	1.15
BSU22440	1.36
BSU24350	0.8082
BSU13910	0.8834
BSU13900	1.2
BSU27070	1.12
BSU27040	1.15
BSU27050	0.9029
BSU27060	1.04
BSU15650	1.13
BSU08820	0.7691
BSU38630	1.27
BSU11210	0.6571
BSU11200	0.6805
BSU07920	0.9694
BSU33170	1.1
BSU33180	1.13
BSU36010	1.02
BSU33160	0.9338
BSU03930	0.8489
BSU15510	1.08
BSU28310	0.5704
BSU11230	0.6047
BSU15520	0.9896
BSU29470	1.07
BSU11240	0.0
BSU36000	0.9569
BSU24150	0.9467
BSU26650	0.0
BSU18260	0.9131
BSU16920	1.2
BSU04520	0.7816
BSU02270	0.9372
BSU37170	1.01
BSU18000	0.9853
BSU11220	0.723
BSU00500	1.56
BSU38580	0.9729
BSU29680	0.9719
BSU29710	0.9823
BSU38590	0.9652
BSU29700	1.19
BSU38390	0.7977
BSU08070	0.9406
BSU29690	1.03
BSU08710	0.8631
BSU38570	0.9571
BSU08090	0.8723
BSU30240	0.8397
BSU33710	1.09
BSU08060	1.07
BSU28120	0.0
BSU33700	0.8835
BSU08080	0.9264
BSU35740	0.9578
BSU33720	1.08
BSU31050	0.6965
BSU30440	0.9773
BSU30430	0.9956
BSU30450	0.885
BSU22830	1.09
BSU22690	0.7637
BSU30410	0.7942
BSU30420	0.9086
BSU09300	1.03
BSU22710	0.6394
BSU07610	0.7272
BSU13130	0.7664
BSU39060	0.8051
BSU26860	1.07
BSU00760	0.8379
BSU00740	0.693
BSU00750	0.8437
BSU37240	0.0
BSU14520	1.32
BSU25500	1.32
BSU01370	1.33
BSU31350	0.9266
BSU36130	0.9392
BSU36120	1.04
BSU09440	0.9022
BSU29140	1.21
BSU38710	0.7116
BSU14900	0.8727
BSU38200	0.9947
BSU14910	0.6779
BSU14920	0.7334
BSU30300	1.12
BSU14890	0.657
BSU38190	0.778
BSU22540	0.9431
BSU22560	1.05
BSU22550	0.9329
BSU11880	0.8317
BSU27610	1.68
BSU38750	0.17
BSU30710	0.9073
BSU30720	0.9176
BSU06440	0.8587
BSU38760	0.3719
BSU38160	0.7818
BSU29020	0.9346
BSU38140	0.8324
BSU38170	0.8799
BSU38150	0.9496
BSU06510	0.5659
BSU25300	1.45
BSU02230	0.7641
BSU27330	2.11
BSU30980	0.6834
BSU39410	0.933
BSU01780	1.74
BSU40420	0.7694
BSU32180	1.18
BSU18410	0.9093
BSU22890	1.57
BSU36900	0.5702
BSU35010	0.8424
BSU20250	1.07
BSU40070	1.04
BSU03950	0.6626
BSU19520	0.849
BSU30940	0.9249
BSU11190	0.762
BSU08790	0.8828
BSU00730	0.4422
BSU30950	0.8806
BSU02460	1.1
BSU13890	1.16
BSU06520	0.4616
BSU12920	0.5412
BSU06420	1.2
BSU06430	1.55
BSU30960	0.8611
BSU25310	1.48
BSU30970	0.7914
BSU17460	0.8917
BSU14610	1.05
BSU23380	0.8486
BSU19370	1.32
BSU19360	1.05
BSU27460	1.01
BSU27430	0.997
BSU18540	0.7799
BSU30210	0.9204
BSU27450	1.04
BSU25580	0.919
BSU27440	1.02
BSU07570	0.9948
BSU22090	0.9234
BSU09410	0.9436
BSU22110	0.9772
BSU12330	0.7967
