,ybeF,0.0
287,ylaD,0.0
288,ylaB,0.0
289,ykvM,0.6522
290,ykvK,0.7566
291,ykvI,0.0
292,motA,0.7654
293,ykvE,1.03
294,eag,1.03
295,nprE,0.8527
296,ykzC,1.42
297,ykzI,0.0
298,yktA,0.7366
299,slp,0.8189
300,pdhC,0.7764
301,ykvA,0.6526
302,ykrY,0.8647
303,ykrW,1.13
304,ykrU,0.9844
305,ykrS,1.01
306,ykrQ,0.9822
307,ylaL,0.8078
308,ylaJ,0.785
309,ylaG,1.25
310,ylaE,0.8798
311,ylaC,1.05
312,ylaA,0.9621
313,ykvL,0.9249
314,ykvJ,0.0
315,clpE,1.05
316,motB,0.8883
317,ykvD,0.0
318,spo0E,1.3
319,yktD,1.22
320,yktC,1.35
321,yktB,1.02
322,cad,1.04
323,pdhD,0.8276
324,pdhB,0.8638
325,ykrZ,0.8691
326,ykrX,0.9561
327,ykrV,1.05
328,ykrT,1.27
329,dat,1.27
330,ykrM,0.0
331,ymfM,0.9451
332,ymfK,1.28
333,ymfI,0.8977
334,ymfF,0.9054
335,ymfD,0.9952
336,spoIIIE,0.9235
337,yloW,0.7955
338,yloU,0.9857
339,spoVM,0.0
340,yloR,0.7075
341,ymfA,0.8164
342,dapG,0.9217
343,spoVFB,0.7468
344,ymxH,0.0
345,ylxY,0.8232
346,ribC,0.9251
347,fmt,0.856
348,priA,0.0
349,yloH,0.8584
350,yloC,0.9644
351,ylnF,0.8495
352,ylnD,0.8964
353,ymfL,1.02
354,ymfJ,0.0
355,ymfH,1.07
356,ymfE,1.01
357,ymfC,1.25
358,ymfB,1.3
359,yloV,1.13
360,rpmB,0.9609
361,yloS,1.09
362,yloQ,1.01
363,yloO,0.8987
364,yloM,0.9567
365,dapA,0.9026
366,asd,0.9535
367,spoVFA,1.17
368,ymxG,0.9394
369,rpsO,0.7576
370,truB,0.8447
371,def,0.9962
372,yloI,1.01
373,yloD,1.03
374,yloA,1.09
375,ylnE,0.9492
376,ylnC,0.8907
377,yobK,0.9882
378,yobI,0.0
379,yozL,0.0
380,yobH,0.9021
381,rapK,1.22
382,yobF,1.06
383,yneI,1.18
384,ynzD,0.9467
385,yneE,0.0
386,ynzC,1.13
387,yneA,1.03
388,yndN,0.89
389,yozI,1.15
390,yobD,1.26
391,pps,0.8159
392,yobA,0.0
393,yoaZ,0.7964
394,yoaV,0.8521
395,yndL,0.9108
396,yndJ,0.856
397,yndG,0.8493
398,yndD,0.9246
399,yndB,0.9144
400,ynzA,0.8355
401,yobJ,0.7809
402,yozM,0.0
403,yozK,0.0
404,phrK,1.45
405,yozJ,0.0
406,yobE,1.29
407,ccdA,1.09
408,yneF,1.57
409,tkt,1.52
410,yneB,1.24
411,lexA,0.9784
412,yndM,1.4
413,yozH,1.31
414,xynA,1.2
415,yobB,0.0
416,penP,1.23
417,yoaW,0.0
418,yoaU,0.0
419,yndK,0.9178
420,yndH,1.17
421,yndE,1.4
422,ynzB,0.0
423,yndA,0.0
424,cotC,0.0
425,yonR,1.22
426,yonT,0.0
427,yonV,0.4327
428,yopA,0.851
429,yopC,0.9101
430,yopE,0.0
431,yosR,0.0
432,yosT,0.0
433,yosV,0.0
434,yosZ,0.0
435,yotB,0.0
436,yotD,0.0
437,yopG,0.8268
438,yopI,0.8885
439,yopK,0.6511
440,yopM,0.0
441,yopO,0.6352
442,yopQ,0.7945
443,yotF,0.0
444,yotH,0.0
445,yotJ,0.0
446,yotL,0.0
447,yotN,0.0
448,yodV,0.8419
449,yonS,0.9833
450,yonU,0.6477
451,yonX,0.0
452,yopB,0.0
453,yopD,0.9385
454,yopF,0.0
455,yosS,0.0
456,yosU,0.0
457,yosX,0.0
458,sspC,0.0
459,yotC,0.0
460,yotE,4.42
461,yopH,1.13
462,yopJ,1.21
463,yopL,0.7756
464,yopN,0.0
465,yopP,0.8622
466,yopR,0.8865
467,yotG,0.0
468,yotI,0.0
469,yotK,0.0
470,yotM,0.0
471,yodU,0.0
472,cgeA,0.0
473,fer,0.723
474,recQ,1.01
475,ypbE,0.8536
476,ypbH,1.16
477,ypdA,0.9376
478,sleB,0.0
479,ypcP,1.01
480,ypdP,0.9673
481,ypeQ,0.0
482,degR,0.9898
483,ypfP,1.34
484,bsaA,1.09
485,ypfA,0.8797
486,cmk,1.09
487,ypgA,1.13
488,yphB,0.8311
489,gpsA,0.8122
490,yphF,1.13
491,ypgR,0.9215
492,yphP,0.9239
493,ypjP,0.9504
494,thyB,0.8707
495,ypkP,0.7403
496,yplP,0.6056
497,ypbB,0.964
498,ypbD,0.9196
499,ypbF,0.9459
500,ypcA,1.11
501,ypdC,1.09
502,ypeB,0.0
503,ypdQ,1.16
504,ypeP,0.0
505,ypzA,0.0
506,cspD,1.24
507,metB,0.9338
508,ypgQ,1.18
509,ypfB,1.25
510,ypfD,1.42
511,yphA,0.0
512,yphC,0.9812
513,yphE,1.25
514,spoIVA,1.11
515,ilvD,1.25
516,ypiP,0.9523
517,ypjQ,1.08
518,dfrA,1.02
519,yplQ,0.4938
520,ilvA,1.08
521,yqgA,1.22
522,yqgC,1.03
523,yqgE,0.0
524,yqgG,0.0
525,yqgI,0.0
526,yqgK,0.9469
527,bfmBAB,0.4248
528,bmrR,0.7996
529,yqiW,0.7675
530,yqiY,1.01
531,yqjA,1.02
532,yqjC,0.0
533,yqgL,0.0
534,yqgN,0.8389
535,yqgP,0.9639
536,glcK,0.8458
537,yqgU,0.9153
538,yqgW,1.15
539,yqjE,1.01
540,yqjG,0.8875
541,yqjI,1.3
542,yqjK,1.15
543,yqjM,0.9716
544,yqjO,0.8638
545,yqgB,1.07
546,sodA,0.9503
547,pbpA,1.18
548,yqgH,0.0
549,yqgJ,0.0
550,yqzD,1.04
551,bfmBB,0.5285
552,bmr,1.19
553,yqiX,1.29
554,yqiZ,1.16
555,yqjB,1.16
556,yqjD,1.11
557,yqgM,1.11
558,yqgO,0.9242
559,yqgQ,0.9338
560,yqgT,1.05
561,yqgV,1.01
562,yqgX,1.33
563,yqjF,1.38
564,yqjH,0.7791
565,yqjJ,1.26
566,yqjL,1.22
567,yqjN,1.11
568,yqjP,1.07
569,levE,0.0
570,levG,0.6267
571,adhA,0.0
572,yraC,0.0
573,yraE,0.0
574,yraF,0.0
575,yqbK,0.9003
576,yqbM,0.0
577,yqbN,0.0
578,yqbQ,0.0
579,yqbS,0.0
580,yqcA,0.0
581,yraH,0.0
582,yraJ,0.8694
583,yraL,0.0
584,yraM,0.7937
585,yraO,0.7916
586,sigZ,0.0
587,yqcD,0.0
588,yqxG,0.0
589,yqxI,0.8173
590,yqcF,1.06
591,yqzI,0.0
592,rapE,0.9274
593,levF,0.637
594,sacC,0.6103
595,yraB,1.13
596,yraD,0.0
597,adhB,1.02
598,yraG,0.0
599,yqbL,0.0
600,yqdB,0.0
601,yqbP,0.0
602,yqbR,0.0
603,yqbT,1.37
604,yqcB,0.0
605,yraI,1.1
606,yraK,0.0
607,csn,0.9985
608,yraN,1.12
609,yrpG,0.0
610,yrpE,0.918
611,yqcE,0.0
612,cwlA,0.0
613,yqxJ,1.34
614,yqcG,1.19
615,phrE,1.17
616,yqcI,0.0
617,ytaF,0.9267
618,ytbE,1.05
619,ytcD,0.6991
620,ytcF,0.9088
621,dnaB,0.8801
622,ytxB,0.8454
623,folC,0.8299
624,spoIIB,0.8035
625,ysxA,1.23
626,mreC,1.12
627,minC,1.01
628,spoIVFA,0.0
629,thrS,0.6825
630,lytS,0.9872
631,ysbA,0.0
632,yscB,0.9066
633,infC,0.7286
634,rplT,0.7501
635,rplU,0.8721
636,spo0B,0.8367
637,p`eB,0.7605
638,pheB,0.814
639,yrxA,1.55
640,nadB,1.5
641,nadA,0.0
642,ytaG,0.9431
643,ytbD,0.961
644,gapB,0.7972
645,ytcG,1.09
646,dnaI,0.9428
647,ytxC,0.9624
648,comC,1.06
649,maf,1.5
650,mreB,1.52
651,mreD,1.21
652,minD,1.18
653,spoIVFB,0.0
654,ysaA,1.37
655,lytT,1.08
656,ysbB,1.23
657,yscA,0.8973
658,rpmI,0.7388
659,ysdA,0.9241
660,ysxB,0.9078
661,obg,0.7864
662,pheA,1.06
663,nifS,1.82
664,nadC,1.65
665,yrbA,1.37
666,yubA,0.9496
667,yubC,0.0
668,yubE,0.9421
669,yubG,0.8882
670,yuaB,0.9778
671,gbsA,0.0
672,yteP,0.0
673,yteR,0.0
674,yteT,0.0
675,yteV,0.0
676,ytfP,0.9282
677,ytzG,0.9441
678,yuaD,0.9155
679,yuaG,0.4453
680,yuaJ,0.8656
681,glgD,0.0
682,ytaB,0.0
683,ytxN,0.0
684,ytzE,1.24
685,ythQ,1.05
686,ytjP,0.9043
687,ytlP,0.9465
688,ytlR,0.9442
689,ytmP,1.28
690,yubB,1.01
