,ybeF,0.0
1246,yhfT,1.1
1247,yhfP,1.15
1248,yhdE,1.21
1249,yhdC,0.0
1250,yhdA,1.05
1251,yhcY,1.02
1252,glpD,0.5121
1253,glpF,0.3925
1254,aprE,0.9737
1255,yhfM,0.0
1256,yhfK,1.03
1257,yhfI,1.19
1258,gltT,1.06
1259,yhfE,1.04
1260,yhxA,1.01
1261,yhcW,0.9426
1262,yhcU,0.0
1263,yhcS,0.0
1264,yhcQ,0.0
1265,yhcO,0.0
1266,yjqB,0.705
1267,xlyB,0.7828
1268,phrA,0.8032
1269,yjoB,0.6336
1270,yjnA,0.0
1271,yjmI,0.7158
1272,yjbC,0.7379
1273,oppF,1.03
1274,oppB,1.13
1275,trpS,0.7676
1276,appC,1.37
1277,appA,1.24
1278,yjmG,0.8183
1279,yjmE,0.0
1280,yjmC,0.0
1281,yjmA,0.9193
1282,yjlC,0.7899
1283,yjlA,0.9798
1284,appD,1.38
1285,yjaY,1.3
1286,yjzA,0.8914
1287,yjaV,0.0
1288,yjzD,0.9766
1289,argF,0.5197
1290,yjqA,0.8259
1291,yjpA,0.8666
1292,rapA,1.14
1293,yjoA,1.11
1294,yjmJ,0.7975
1295,yjmH,1.1
1296,yjbB,0.0
1297,oppC,1.34
1298,oppA,1.28
1299,yjbA,1.63
1300,appB,1.42
1301,appF,1.39
1302,yjmF,0.8953
1303,yjmD,1.02
1304,yjmB,0.9259
1305,yjlD,1.04
1306,yjlB,1.58
1307,yjkB,1.06
1308,yjaZ,0.0
1309,yjzB,1.07
1310,med,0.9897
1311,yjaU,0.0
1312,yjzC,0.0
1313,pdhA,0.8225
1314,ykrB,0.7723
1315,ykzG,0.8091
1316,adeC,0.966
1317,ykqA,0.9557
1318,abh,0.9972
1319,ykrL,0.8748
1320,sspD,0.0
1321,ykoZ,0.0
1322,ykoV,0.0
1323,ykoT,0.0
1324,ykoQ,0.0
1325,ykpC,0.913
1326,ykpB,0.7617
1327,ykoA,0.9014
1328,fruA,0.6977
1329,yknZ,1.09
1330,yknX,1.07
1331,ykoN,0.0
1332,ykoL,0.0
1333,tnrA,0.9682
1334,ykzD,0.8568
1335,ykoI,0.8181
1336,ykoG,0.0
1337,ykyA,0.9166
1338,ykrA,0.8723
1339,ykqC,1.17
1340,ykqB,0.9968
1341,kinC,1.11
1342,mreBH,1.35
1343,ykrK,0.0
1344,ykrI,1.29
1345,ykoX,1.4
1346,ykoU,0.9756
1347,ykoS,1.2
1348,ykoP,0.0
1349,ampS,1.0
1350,ykpA,0.9655
1351,sipT,0.8847
1352,fruR,0.0
1353,yknY,1.17
1354,yknW,0.8461
1355,ykoM,0.6117
1356,ykzB,0.0
1357,ykoK,1.16
1358,ykoJ,1.04
1359,ykoH,1.12
1360,ykoF,0.7908
1361,rbfA,0.7338
1362,infB,1.02
1363,ylxR,0.8166
1364,ylxS,0.8835
1365,yluC,0.8487
1366,cdsA,1.09
1367,ylnB,0.9292
1368,cysH,0.8694
1369,pyrF,1.0
1370,pyrDII,1.18
1371,pyrC,0.9904
1372,pyrP,0.9687
1373,frr,0.7477
1374,tsf,0.9387
1375,ylxL,0.7996
1376,cheD,0.8801
1377,cheW,0.814
1378,cheB,0.9244
1379,ylyB,1.11
1380,ylyA,0.0
1381,divIVA,1.0
1382,ylmG,1.03
1383,ylmE,0.9684
1384,ylmC,0.9457
1385,ylxP,0.7489
1386,ylxQ,0.8728
1387,nusA,0.9018
1388,proS,1.01
1389,yluB,1.08
1390,yluA,1.05
1391,ylnA,1.25
1392,pyrE,1.22
1393,pyrD,1.24
1394,pyrAA,1.1
1395,pyrB,1.09
1396,pyrR,1.35
1397,smbA,0.9439
1398,rpsB,0.8203
1399,sigD,0.7985
1400,cheC,0.9096
1401,ylxH,0.943
1402,lsp,1.12
1403,ylmH,1.22
1404,ylmF,0.9254
1405,ylmD,0.933
1406,ylmB,1.14
1407,yoaT,0.0
1408,yoaS,0.0
1409,yozF,0.0
1410,yoaP,0.0
1411,yoaN,0.8141
1412,pelB,0.9318
1413,yncM,1.14
1414,ynzH,0.0
1415,yncE,0.0
1416,yncC,0.7166
1417,xylB,0.9408
1418,xylR,0.836
1419,yoaJ,0.9154
1420,yoaH,0.9867
1421,yoaF,0.6997
1422,yoaD,0.7994
1423,yoaB,0.9253
1424,yoxB,0.0
1425,ynaJ,0.7969
1426,ynaG,0.9265
1427,ynaE,1.1
1428,ynaC,0.9922
1429,ynzG,0.0
1430,ynxB,0.906
1431,yozG,1.01
1432,yoaR,0.0
1433,yoaQ,0.0
1434,yoaO,0.0
1435,yoaM,1.23
1436,yoaK,1.06
1437,thyA,1.15
1438,yncF,1.01
1439,yncD,1.28
1440,yncB,1.23
1441,xylA,0.9808
1442,xynB,0.9818
1443,yoaI,0.8727
1444,yoaG,0.95
1445,yoaE,1.02
1446,yoaC,0.865
1447,yoaA,1.34
1448,yoxC,1.2
1449,ynaI,0.0
1450,ynaF,1.28
1451,ynaD,1.21
1452,ynaB,1.1
1453,ynzF,0.8128
1454,glnA,0.6908
1455,yopS,0.0
1456,yopU,0.0
1457,yopW,0.0
1458,yopY,0.0
1459,yoqA,1.1
1460,yoqC,0.0
1461,cgeD,0.7846
1462,yodT,0.7247
1463,yodR,0.6235
1464,yodP,0.0
1465,yozE,1.18
1466,yodM,0.812
1467,yoqE,0.0
1468,yoqG,0.0
1469,yoqI,0.0
1470,yoqK,0.0
1471,yoqM,0.0
1472,yoqO,0.0
1473,deoD,0.9649
1474,yodI,0.0
1475,ctpA,0.8278
1476,yodE,0.8162
1477,yodC,1.19
1478,yojA,0.859
1479,yopT,0.7129
1480,yopV,0.0
1481,yopX,0.0
1482,yopZ,0.0
1483,yoqB,1.76
1484,yoqD,0.0
1485,cgeE,1.09
1486,yodS,1.51
1487,argE,1.05
1488,yodO,0.0
1489,yodN,0.0
1490,yodL,0.9413
1491,yoqF,0.0
1492,yoqH,0.0
1493,yoqJ,0.0
1494,yoqL,0.0
1495,yoqN,0.0
1496,yoqP,0.0
1497,yodJ,0.7547
1498,yodH,0.0
1499,yodF,1.11
1500,yodD,1.07
1501,yodA,0.0
1502,yojB,0.0
1503,hbs,0.9496
1504,mtrB,0.8205
1505,gerCB,1.2
1506,ndk,1.13
1507,aroF,0.9628
1508,aroH,0.8978
1509,ypmP,0.9801
1510,ypmR,0.8472
1511,ypmT,0.7795
1512,ypoP,0.706
1513,yppQ,0.7418
1514,yokA,1.22
1515,trpD,0.9129
1516,trpF,0.0
1517,trpA,1.17
1518,tyrA,1.21
1519,ypiA,1.06
1520,ypiF,0.7315
1521,yokC,1.12
1522,yokE,1.13
1523,yokG,0.8806
1524,yokI,1.17
1525,yokK,1.06
1526,yolA,1.23
1527,mtrA,0.9525
1528,gerCA,1.38
1529,gerCC,1.68
1530,cheR,0.973
1531,aroB,1.15
1532,trpE,1.21
1533,ypmQ,0.9648
1534,ypmS,0.9588
1535,ypnP,1.12
1536,yppP,1.03
1537,ypqP,1.1
1538,yokB,1.17
1539,trpC,1.07
1540,trpB,0.8227
1541,hisC,1.1
1542,aroE,1.23
1543,ypiB,0.6583
1544,qcrA,0.8384
1545,yokD,0.9118
1546,yokF,1.15
1547,yokH,0.9219
1548,yokJ,1.21
1549,yokL,1.2
1550,yolB,1.03
1551,yqgY,1.03
1552,yqhA,1.55
1553,yqxL,0.0
1554,comGB,1.43
1555,comGD,1.26
1556,comGF,1.37
1557,yqjQ,0.8448
1558,yqjS,0.9331
1559,yqjV,0.961
1560,yqjW,0.0
1561,yqjY,0.9663
1562,yqkA,1.03
1563,yqzE,1.48
1564,yqxM,0.0
1565,cotN,0.8276
1566,sinI,0.0
1567,yqhH,0.0
1568,yqhJ,1.0
1569,yqkC,0.9911
1570,yqkE,0.0
1571,yqkG,0.8099
1572,ansA,0.8671
1573,yqkI,0.7536
1574,yqkK,0.0
1575,yqgZ,2.07
1576,yqhB,1.12
1577,comGA,1.42
1578,comGC,1.33
1579,comGE,1.54
1580,comGG,1.76
1581,yqjR,1.08
1582,yqjT,0.9862
1583,yqzH,0.0
1584,yqjX,0.0
1585,yqjZ,1.16
1586,yqkB,1.03
1587,yqzG,1.39
1588,sipW,1.01
1589,sinR,1.13
1590,yqhG,1.07
1591,yqhI,1.01
1592,yqhK,1.04
1593,yqkD,1.04
1594,yqkF,1.08
1595,ansR,0.9921
1596,ansB,0.8533
1597,yqkJ,0.9931
1598,spoIIM,0.0
1599,yrpD,1.01
1600,aadK,1.07
1601,yrdB,1.09
1602,yrdD,0.0
1603,yrdF,0.0
1604,azlC,0.9292
1605,yqcJ,0.0
1606,yqcL,0.783
1607,spoIVCA,1.32
1608,nucB,0.0
1609,yqeC,0.0
1610,yqeE,0.0
1611,brnQ,0.8605
1612,gltR,0.0
1613,czcD,0.0
1614,yrdQ,0.7883
1615,yrkA,1.19
1616,blt,0.8043
1617,yqeG,1.07
1618,aroD,0.9442
1619,yqeJ,0.8108
1620,yqeL,0.8259
1621,comER,1.23
1622,comEB,1.17
1623,yrpB,1.33
1624,yrdA,1.02
1625,yrdC,1.07
1626,cypA,0.8253
1627,azlB,0.0
1628,azlD,0.0
1629,yqcK,0.0
1630,yqcM,0.0
1631,spoIVCB,0.0
1632,yqeB,1.12
1633,yqeD,0.9097
1634,yqeF,1.01
1635,yrdK,1.01
1636,yrdN,0.0
1637,trkA,0.0
1638,yrdR,0.0
1639,bltD,0.0
1640,bltR,0.9038
1641,yqeH,1.08
1642,yqeI,0.8205
1643,yqeK,0.8264
1644,yqeM,1.25
1645,comEA,1.32
1646,comEC,1.58
1647,ysdC,0.9674
1648,araA,0.6428
1649,araD,0.0
1650,araM,0.7177
1651,araP,0.0
1652,abfA,0.5399
1653,yrbB,1.08
1654,yrbD,1.07
1655,yrzG,0.0
1656,yrbE,0.7697
1657,bofC,0.9504
1658,ruvB,1.14
1659,ysfE,0.7598
1660,ysfC,0.0
1661,ysfA,0.0
1662,pheS,1.09
1663,ysgB,0.866
1664,yshC,0.9295
1665,tgt,0.9331
1666,yrzE,0.8789
1667,spoVB,1.08
1668,yrvB,1.08
1669,yrvC,0.9579
1670,abnA,0.7075
1671,araB,0.8335
1672,araL,0.8877
1673,araN,0.0
1674,araQ,0.0
1675,cstA,0.0
1676,yrbC,1.4
1677,yrzH,0.0
1678,yrzF,0.0
1679,csbX,1.21
1680,ruvA,1.14
1681,queA,1.07
1682,ysfD,1.12
1683,ysfB,1.0
1684,ysgA,0.849
1685,pheT,1.26
1686,yshB,1.16
1687,yshD,0.9191
1688,yrbF,1.06
1689,yrbG,0.0
1690,yrzD,0.8319
1691,secF,1.01
1692,yrvD,1.12
1693,apt,0.9207
1694,ytxO,0.0
1695,ytcB,0.0
1696,ytdA,0.0
1697,menF,1.22
1698,ytxM,0.9751
1699,menE,0.8527
1700,ytmQ,0.0
1701,malS,0.8648
1702,ytoP,0.9087
1703,ytpP,0.9212
1704,ytpS,1.18
1705,murC,1.12
1706,ytgA,0.9045
1707,ytgC,1.05
1708,ythB,1.2
1709,ytiA,1.04
1710,ytjA,0.86
1711,ytkA,0.8299
1712,ytxH,1.0
1713,aroA,1.04
1714,ytxD,1.05
1715,acuC,0.787
1716,acsA,0.9752
1717,rpsD,1.03
1718,ytcC,0.0
1719,ytcA,0.0
1720,yteA,0.0
1721,menD,1.06
1722,menB,1.12
1723,ytfD,0.9692
1724,ytnP,0.9735
1725,ytzB,1.22
1726,ytoQ,1.13
1727,ytpR,0.9303
1728,ytpT,1.22
1729,ytxG,1.06
1730,ytgB,0.9361
1731,ytgD,1.13
1732,ythA,1.48
1733,ytiB,0.8884
1734,ytjB,0.9389
1735,dps,1.29
1736,ytxJ,1.04
1737,ccpA,0.8619
1738,ytxE,1.16
1739,acuA,1.0
1740,tyrS,0.9444
1741,yusU,0.9651
1742,yusS,0.0
1743,yusQ,0.0
1744,yusO,0.7439
1745,yusM,0.0
1746,yusK,0.0
1747,yuxI,0.0
1748,yukE,1.06
1749,yukC,0.8563
1750,yueC,0.5664
1751,yueE,0.0
1752,yuzE,0.0
1753,yusI,1.1
1754,yusG,1.0
1755,yusE,1.09
1756,yusC,1.16
1757,yusA,0.7539
1758,yurY,1.06
1759,yueG,1.29
1760,yueI,0.9531
1761,yueK,1.01
1762,yuzC,1.18
1763,comQ,1.51
1764,comP,1.18
1765,yusT,0.8959
1766,yusR,0.0
1767,yusP,0.97
1768,yusN,0.0
1769,yusL,0.0
1770,yusJ,0.0
1771,ald,0.7458
1772,yukD,0.0
1773,yukB,1.02
1774,yueD,0.8565
1775,yuzF,0.0
1776,yueF,1.18
1777,yusH,0.8085
1778,yusF,1.21
1779,yusD,1.43
1780,yusB,1.02
1781,yurZ,0.0
1782,yurX,1.28
1783,yueH,1.12
1784,yueJ,1.19
1785,yuxH,1.05
1786,degQ,1.4
1787,comX,1.36
1788,comA,1.15
1789,yvoA,0.8134
1790,nagA,1.1
1791,lgt,1.02
1792,yvpA,0.8778
1793,hisZ,1.17
1794,hisD,1.14
1795,tpi,0.8687
1796,eno,0.8878
1797,yvbJ,1.05
1798,yvbH,0.9628
1799,yvbF,1.03
1800,opuCB,1.41
1801,hisH,1.19
1802,hisF,1.18
1803,yvcA,0.8709
1804,yvzA,1.09
1805,yvcD,1.06
1806,trxB,1.17
1807,opuCD,1.13
1808,yvaZ,1.28
1809,yvaX,1.8
1810,yvaV,0.989
1811,opuBC,1.24
1812,yvaQ,0.9638
1813,nagB,0.8786
1814,yvoB,1.11
1815,yvpB,1.07
1816,hisG,1.46
1817,hisB,1.4
1818,pgm,1.23
1819,yvbK,1.11
1820,yvbI,0.0
1821,yvbG,1.25
1822,opuCA,1.59
1823,opuCC,1.54
1824,hisA,1.35
1825,hisI,1.13
1826,yvcB,1.12
1827,yvcC,0.0
1828,yvcE,1.58
1829,yvcI,0.9073
1830,yvbA,1.13
1831,yvaY,1.31
1832,yvaW,2.45
1833,opuBB,1.48
1834,opuBD,0.0
1835,yvaP,1.19
1836,fbaA,1.08
1837,murZ,1.28
1838,rpmE,0.705
1839,ywkB,0.0
1840,ywkD,0.8082
1841,ywkE,0.8561
1842,ywrE,0.0
1843,cotG,0.0
1844,cotB,0.0
1845,ywrK,0.0
1846,alsS,0.9854
1847,ywrO,1.15
1848,ywlA,0.8154
1849,ywlB,0.0
1850,ywlE,0.7515
1851,ywlG,0.8828
1852,upp,1.01
1853,atpB,0.9177
1854,ywsB,1.14
1855,rbsC,0.8614
1856,rbsD,1.03
1857,rbsR,0.8966
1858,ywtA,0.0
1859,ywtC,0.0
1860,ywjH,1.1
1861,ywjI,1.04
1862,ywkA,1.13
1863,ywkC,0.8594
1864,prfA,1.25
1865,ywkF,0.0
1866,ywrF,0.0
1867,cotH,0.0
1868,ywrJ,0.0
1869,alsR,1.31
1870,alsD,1.3
1871,ywsA,1.26
1872,spoIIR,0.0
1873,ywlD,1.51
1874,ywlF,1.05
1875,glyA,0.8519
1876,atpI,1.03
1877,atpE,0.7823
1878,rbsB,0.9681
1879,rbsA,1.15
1880,rbsK,0.8704
1881,ywsC,0.0
1882,ywtB,1.09
1883,ywtD,1.07
1884,deaD,0.9102
1885,yxiP,0.8649
1886,bglS,0.0
1887,katB,1.24
1888,yxiT,1.0
1889,yxjB,1.02
1890,ywcF,1.14
1891,ywcH,1.05
1892,ywcI,0.7746
1893,ywcJ,0.0
1894,sacA,0.6114
1895,thiD,0.8458
1896,yxjD,1.05
1897,yxjF,0.84
1898,yxjH,0.9565
1899,yxjJ,0.767
1900,yxjL,0.9208
1901,yxjN,1.1
1902,ywdD,1.29
1903,ywdF,0.9237
1904,ywdH,0.9955
1905,ywdJ,0.9691
1906,ywdL,0.0
1907,spsB,0.909
1908,yxiO,0.9179
1909,licT,0.9247
1910,yxiQ,0.9204
1911,yxiS,1.0
1912,yxjA,1.21
1913,yxjC,0.0
1914,ywcG,1.24
1915,vpr,1.42
1916,sacT,0.0
1917,sacP,1.18
1918,ywdA,0.987
1919,ywdC,1.34
1920,yxjE,0.9903
1921,yxjG,1.06
1922,yxjI,0.0
1923,pepT,1.16
1924,yxjM,1.27
1925,yxjO,1.48
1926,ywdE,1.24
1927,ung,0.9486
1928,ywdI,0.8484
1929,ywdK,1.01
1930,spsA,0.0
1931,spsC,0.976
1932,rnpA,1.13
1933,jag,1.13
1934,gidB,0.9203
1935,yydK,0.7225
1936,bglA,0.7475
1937,ahpC,1.61
1938,gntP,0.7287
1939,gntR,0.0
1940,yxaB,0.9841
1941,yyaB,1.02
1942,spo0J,0.9369
1943,yyaD,0.9957
1944,yyaF,1.0
1945,ssb,0.96
1946,exoA,0.873
1947,yxaD,0.9375
1948,yxaF,0.975
1949,yxaH,1.72
1950,yxaJ,1.65
1951,yxaM,2.96
1952,yxbB,2.53
1953,rpmH,0.9719
1954,spoIIIJ,1.28
1955,thdF,1.3
1956,yyaA,1.14
1957,yyzE,0.0
1958,ahpF,2.57
1959,gntZ,1.03
1960,gntK,0.7301
1961,yxaA,1.22
1962,yxaC,1.12
1963,soj,1.07
1964,yyaC,1.41
1965,yyaE,1.08
1966,rpsF,0.9179
1967,rpsR,0.9954
1968,yyaG,1.19
1969,yxnA,1.16
1970,yxaG,0.9231
1971,yxaI,0.854
1972,yxaL,1.32
1973,yxbA,2.41
1974,yxbC,2.81
1975,gltA,0.6767
1976,ppsE,0.8674
1977,ebrA,0.0
1978,ymfG,0.974
1979,bpr,0.692
1980,cheV,0.8349
1981,rho,0.871
1982,tagD,0.9384
1983,yvfE,0.8504
1984,yvgP,0.0
1985,yurC,0.0
1986,aapA,0.8866
1987,spoIIS,1.12
1988,xtmB,0.0
1989,yhjN,1.17
1990,yhaA,1.34
1991,yheJ,0.0
1992,yfmB,0.8346
1993,yqhQ,0.8493
1994,yosN,0.9978
1995,pnpA,1.05
1996,flhA,1.01
1997,fliP,0.9942
1998,fruB,0.6249
1999,ppsC,1.07
2000,yngB,0.8597
2001,pyrAB,1.16
2002,polC,1.11
2003,pycA,1.15
2004,ptsH,0.8114
2005,tdk,1.03
2006,yvfC,0.9746
2007,yvfK,0.0
2008,yusY,1.16
2009,ysnF,0.0
2010,lepA,0.0
2011,xkdO,1.17
2012,yirY,0.8706
2013,yhfQ,1.33
2014,yhaQ,1.11
2015,yfkL,1.58
2016,yfnC,1.13
2017,spoIIIAG,0.0
2018,yojG,0.963
2019,flhF,0.9451
2020,flhB,0.8901
2021,cheY,0.9258
2022,moaD,0.9864
2023,hprT,1.07
2024,yvoF,0.9457
2025,yvdS,1.21
2026,sacB,0.0
2027,ffh,1.03
2028,ssuC,0.0
2029,yvfP,0.8883
2030,ctc,0.8819
2031,ppsB,1.04
2032,yvgR,1.19
2033,ydjK,0.0
2034,spoIIE,0.0
2035,ywbL,1.3
2036,sigL,0.8457
2037,yacA,1.38
2038,yvdR,0.9885
2039,yveB,0.0
2040,yqxK,0.0
2041,yhaR,1.06
2042,pnbA,1.29
2043,ytnM,3.03
2044,prs,0.938
2045,ykoW,1.54
2046,cotA,1.19
2047,ydjA,1.14
2048,hutH,0.0
2049,secA,1.17
2050,ybaS,0.8867
2051,ybaN,0.7639
2052,gerD,0.0
2053,cwlD,0.0
2054,ybaJ,1.25
2055,rplM,0.8533
2056,gcaD,1.09
2057,yabJ,0.8067
2058,yabH,1.03
2059,veg,0.9044
2060,ksgA,1.05
2061,ybaF,0.6597
2062,ybxA,0.6082
2063,rpoA,0.7387
2064,rpsM,0.6362
2065,infA,0.6512
2066,adk,0.7517
2067,abrB,0.6975
2068,yazA,0.8534
2069,yabA,0.9386
2070,holB,0.9104
2071,yaaQ,0.8525
2072,ybaR,0.9623
2073,kbaA,0.8305
2074,ybaL,0.9058
2075,ybaK,0.0
2076,rpsI,1.01
2077,truA,0.7264
2078,spoVG,1.4
2079,purR,1.02
2080,sspF,1.21
2081,yabG,0.0
2082,yabF,1.08
2083,ybaE,0.7341
2084,rplQ,0.6899
2085,rpsK,0.7644
2086,rpmJ,0.5909
2087,map,0.7557
2088,secY,0.8059
2089,yabC,0.87
2090,yabB,0.9224
2091,yaaT,0.975
2092,yaaR,1.03
2093,tmk,0.9586
2094,ycnG,0.0
2095,yczG,0.9897
2096,ycnD,0.6929
2097,yclQ,1.4
2098,yclO,1.72
2099,yclM,1.23
2100,rapJ,0.9819
2101,ycdC,0.0
2102,natB,0.0
2103,yccH,0.918
2104,yccF,1.07
2105,yczB,0.0
2106,yclK,0.802
2107,yclI,0.9316
2108,gerKB,0.8732
2109,gerKA,0.0
2110,yclE,0.7272
2111,yclC,0.0
2112,cwlJ,1.08
2113,ycbO,0.0
2114,ycbL,0.0
2115,yczA,0.0
2116,ycbH,0.9028
2117,ycbF,0.9011
2118,ycnF,0.8658
2119,ycnE,0.8011
2120,ycnC,0.8885
2121,yclP,1.6
2122,yclN,1.84
2123,rapC,1.43
2124,ycdD,0.0
2125,ycdA,0.6548
2126,natA,0.0
2127,yccG,1.05
2128,lipA,1.52
2129,phoD,1.2
2130,yclJ,1.13
2131,yclH,1.18
2132,gerKC,1.28
2133,yczF,0.0
2134,yclD,1.2
2135,yclB,0.9635
2136,ycbP,1.14
2137,ycbN,0.9977
2138,ycbK,0.8616
2139,ycbJ,1.18
2140,ycbG,0.8628
2141,ycbE,0.8928
2142,ydiF,0.8709
2143,ydiD,0.8044
2144,ydiB,0.875
2145,ydhU,0.0
2146,ydhS,0.0
2147,ydhQ,0.0
2148,yddF,0.0
2149,yddC,0.0
2150,yddA,0.0
2151,ydcS,0.0
2152,ydcQ,0.7537
2153,ydcO,0.0
2154,ydhO,0.5275
2155,ydhM,0.2954
2156,ydhK,0.8755
2157,ydhI,0.0
2158,ydhG,1.01
2159,ydhF,0.0
2160,ydcN,0.0
2161,ydcL,1.39
2162,ydcH,1.01
2163,ydcF,0.9977
2164,sigB,1.13
2165,rsbU,0.9719
2166,ydiE,0.9319
2167,ydiC,0.9259
2168,ydiA,1.07
2169,ydhT,0.0
2170,ydhR,0.8718
2171,ydhP,0.0
2172,yddD,0.0
2173,yddB,0.0
2174,ydcT,0.0
2175,ydcR,0.0
2176,ydcP,0.0
2177,sacV,0.0
2178,ydhN,0.3693
2179,ydhJ,1.16
2180,ydhH,0.0
2181,phoB,0.9858
2182,ydhE,0.9846
2183,ydcM,0.0
2184,ydcK,0.0
2185,ydcG,0.0
2186,rsbX,1.37
2187,rsbW,1.01
2188,rsbT,1.06
2189,yfjF,0.0
2190,acoR,0.9128
2191,acoC,0.0
2192,acoA,0.0
2193,yfjM,0.8678
2194,yfjO,0.8865
2195,yesT,0.0
2196,yesR,0.6321
2197,yesP,0.0
2198,yesM,0.0
2199,yesK,0.7133
2200,cotJB,0.0
2201,yfjQ,0.9607
2202,yfjS,0.0
2203,yfkA,0.0
2204,yfkC,0.8252
2205,yfkE,0.0
2206,yfkJ,0.7756
2207,yesF,0.9768
2208,yeeK,0.9095
2209,rapH,1.42
2210,yezA,0.0
2211,yeeC,0.8246
2212,yeeA,0.0
2213,yfjU,0.0
2214,acoL,0.9319
2215,acoB,0.9376
2216,yfjL,0.9763
2217,yfjN,1.05
2218,yfjP,1.15
2219,yesS,0.9029
2220,yesQ,0.0
2221,yesO,0.0
2222,yesL,0.983
2223,yesJ,0.9152
2224,cotJA,0.0
2225,yfjR,1.29
2226,yfjT,1.31
2227,yfkB,1.13
2228,yfkD,1.19
2229,yfkH,1.25
2230,yfkK,1.19
2231,yesE,1.31
2232,yeeI,0.0
2233,yeeG,1.33
2234,yeeD,1.24
2235,yeeB,0.7889
2236,yefC,0.0
2237,yhfD,0.0
2238,yhfB,0.7546
2239,yhgD,0.7707
2240,hemH,0.7409
2241,pbpF,0.9035
2242,yhgB,0.0
2243,yhcN,0.0
2244,yhcL,1.07
2245,yhcJ,1.14
2246,yhcI,1.06
2247,yhcG,0.8418
2248,yhcE,0.0
2249,ecsC,0.9968
2250,ecsA,1.04
2251,serC,1.1
2252,yhaH,0.886
2253,yhaI,1.06
2254,yhaK,1.28
2255,yhcB,0.7806
2256,yhbJ,0.8587
2257,yhbH,0.8959
2258,yhbF,0.6875
2259,yhbD,0.9172
2260,yhbA,1.04
2261,yhfC,0.9725
2262,yhgE,0.9729
2263,hemY,0.9062
2264,hemE,0.8941
2265,yhgC,1.22
2266,yhfA,1.19
2267,yhcM,1.22
2268,yhcK,1.08
2269,cspB,1.02
2270,yhcH,1.11
2271,yhcF,1.16
2272,yhcC,0.922
2273,ecsB,1.13
2274,hit,1.09
2275,yhaG,1.1
2276,hpr,1.26
2277,yhaJ,1.33
2278,prsA,0.8483
2279,yhcA,0.0
2280,yhbI,0.9035
2281,prkA,1.06
2282,yhbE,0.904
2283,cspR,0.8996
2284,yhzB,0.0
2285,yjkA,0.9002
2286,yjiC,1.06
2287,yjiA,0.0
2288,yjhA,0.6304
2289,yjgB,0.0
2290,yjfC,0.0
2291,carA,0.7952
2292,argB,0.9363
2293,argC,1.01
2294,yitY,0.9312
2295,yitW,0.974
2296,yitU,1.14
2297,yjfA,0.0
2298,cotT,0.0
2299,yjdJ,0.0
2300,yjdG,0.8077
2301,yjdE,1.08
2302,yjdC,0.0
2303,yitT,0.7417
2304,nprB,0.8297
2305,yitQ,0.8019
2306,yitO,0.8089
2307,yitM,0.0
2308,yitK,0.936
2309,yjjA,1.12
2310,yjiB,1.09
2311,yjhB,0.6662
2312,yjgD,0.8991
2313,yjgA,0.0
2314,yjfB,1.05
2315,argD,1.01
2316,argJ,1.06
2317,yitZ,0.0
2318,yitX,0.0
2319,yitV,0.9784
2320,ipi,0.0
2321,yjeA,1.34
2322,yjdK,0.9711
2323,yjdI,0.8818
2324,yjdF,0.8592
2325,yjdD,1.04
2326,yjdB,0.0
2327,yitS,0.863
2328,yitR,0.8588
2329,yitP,0.0
2330,yitN,1.27
2331,yitL,0.887
2332,yitJ,1.11
2333,yknV,0.0
2334,moaE,0.9312
2335,moeA,0.8775
2336,mobA,0.7046
2337,ykuV,1.05
2338,ykuT,0.9082
2339,ykoE,0.6761
2340,ykoC,0.8266
2341,ispA,0.0
2342,yknA,0.8844
2343,ykmA,0.0
2344,proA,0.9266
2345,ykuR,0.8274
2346,ykuP,1.5
2347,ykuN,2.02
2348,ykuL,0.9624
2349,ykuK,1.02
2350,ykuI,1.28
2351,ykkE,1.05
2352,ykkC,0.0
2353,ykkA,0.6999
2354,ykzH,0.8201
2355,ykhA,0.9825
2356,ykgB,0.9889
2357,yknU,0.0
2358,mobB,0.7902
2359,moeB,0.9497
2360,ykuW,0.902
2361,ykuU,1.27
2362,ykuS,0.9535
2363,ykoD,0.9926
2364,ispU,1.18
2365,metC,1.02
2366,ykzA,1.01
2367,yklA,0.6207
2368,proB,1.15
2369,ykuQ,1.06
2370,ykuO,1.99
2371,ykuM,1.21
2372,ykzF,1.01
2373,ykuJ,1.01
2374,ykuH,1.61
2375,ykkD,0.0
2376,ykkB,1.29
2377,ykjA,0.0
2378,hmp,0.0
2379,ykgA,0.0
2380,ykfD,0.0
2381,fliR,0.9106
2382,fliZ,0.9041
2383,fliM,0.9506
2384,flgE,0.8704
2385,fliK,0.9542
2386,fliJ,0.9365
2387,ylmA,1.21
2388,sigE,0.0
2389,ftsZ,0.9914
2390,sbp,1.04
2391,ylxW,0.7911
2392,murB,0.8522
2393,fliH,1.07
2394,fliF,1.11
2395,flgC,0.9649
2396,codY,0.7734
2397,clpQ,0.8892
2398,gid,0.8419
2399,spoVE,1.03
2400,mraY,0.811
2401,pbpB,0.8468
2402,ylxA,0.8385
2403,yllA,1.5
2404,ylbP,0.7614
2405,fliQ,0.9937
2406,fliY,1.05
2407,fliL,0.9937
2408,ylxG,0.9785
2409,ylxF,1.13
2410,fliI,1.35
2411,sigG,0.0
2412,spoIIGA,0.0
2413,ftsA,1.25
