gene_id	value
BSU39920	3.37
BSU33290	1.22
BSU24850	0.8458
BSU03810	1.72
BSU07510	1.34
BSU30540	1.13
BSU03820	1.6
BSU22410	0.9632
BSU03830	1.4
BSU07520	1.17
BSU07990	1.29
BSU33300	1.01
BSU39350	0.0
BSU15490	1.09
BSU03790	1.23
BSU28470	1.05
BSU16760	0.9217
BSU34910	1.14
BSU31322	0.0
BSU39390	1.07
BSU27870	1.5
BSU28510	0.7735
BSU02400	1.07
BSU28720	0.5399
BSU28150	1.01
BSU23570	0.8533
BSU22370	1.13
BSU34920	1.46
BSU36810	0.821
BSU17150	0.9446
BSU18230	1.35
BSU36840	0.9184
BSU06970	0.0
BSU11710	0.8458
BSU38500	1.54
BSU13960	0.9816
BSU38530	1.22
BSU37780	0.7803
BSU38510	1.28
BSU38520	1.18
BSU00790	0.8029
BSU00270	0.9283
BSU32260	0.5669
BSU32240	0.6101
BSU22600	1.04
BSU02290	0.9655
BSU10870	0.0
BSU10020	1.1
BSU22620	1.1
BSU34890	1.19
BSU03990	0.9829
BSU35780	1.25
BSU04740	1.37
BSU31990	2.49
BSU30830	1.22
BSU31970	2.6
BSU30280	0.0
BSU19630	0.9649
BSU03070	0.9572
BSU34870	1.18
BSU34900	1.4
BSU22660	1.07
BSU30290	0.0
BSU30270	1.08
BSU29600	1.24
BSU26700	0.0
BSU26690	0.8605
BSU26710	0.9292
BSU27850	0.0
BSU00090	0.9969
BSU24130	1.07
BSU39700	0.9622
BSU24140	0.8242
BSU39720	0.9971
BSU23250	2.56
BSU28790	0.8335
BSU39750	0.0
BSU39730	1.01
BSU28780	0.0
BSU04000	0.8389
BSU39740	0.0
BSU29220	0.9511
BSU39710	0.7811
BSU17390	0.9569
BSU28270	1.18
BSU30550	0.8711
BSU28260	1.23
BSU17380	1.19
BSU28250	1.19
BSU28280	1.14
BSU39370	0.9007
BSU36920	1.05
BSU28290	0.9006
BSU04030	0.0
BSU06150	0.0
BSU15910	0.9878
BSU00930	0.5638
BSU00380	0.9702
BSU08000	0.9607
BSU15900	1.38
BSU24740	0.0
BSU25660	0.9442
BSU03981	0.0
BSU34660	1.1
BSU01580	0.9623
BSU33390	0.9797
BSU25020	0.9503
BSU33370	0.7839
BSU26600	0.0
BSU33380	1.02
BSU22430	1.04
BSU26590	0.8043
BSU24310	0.9174
BSU30790	0.8527
BSU28430	0.8543
BSU32100	0.0
BSU28440	1.04
BSU28450	0.9422
BSU16090	1.02
BSU32200	0.8973
BSU16100	0.9676
BSU03130	1.01
BSU38050	1.18
BSU02750	0.0
BSU01680	0.0
BSU02760	0.0
BSU09850	0.8772
BSU37110	1.1
BSU11640	1.16
BSU35710	1.07
BSU35760	1.4
BSU22730	1.13
BSU35720	0.9854
BSU27860	1.65
BSU35530	0.961
BSU38060	0.0
BSU35750	1.35
BSU35730	1.33
BSU37320	0.808
BSU35690	1.12
BSU03330	0.0
BSU35680	1.05
BSU30800	1.12
BSU35590	0.0
BSU03320	0.6906
BSU35600	0.9396
BSU03310	0.0
BSU37280	0.0
BSU35570	0.9459
BSU37260	1.13
BSU35550	0.8691
BSU37270	0.0
BSU35540	0.9589
BSU03290	0.0
BSU35609	0.0
BSU03300	0.0
BSU16990	0.7781
BSU11250	0.5197
BSU21770	1.08
BSU32250	0.8123
BSU17890	1.52
BSU21820	0.8707
BSU17680	1.15
BSU15550	1.0
BSU11650	0.9332
BSU40340	1.04
BSU15560	1.22
BSU18670	0.8141
BSU18480	0.8422
BSU03270	1.44
BSU22420	0.9227
BSU15190	0.811
BSU34790	1.17
BSU32110	1.12
BSU37660	0.8724
BSU07810	0.7843
BSU07800	0.9134
BSU22640	0.8227
BSU14860	1.15
BSU22630	1.17
BSU14590	0.8638
BSU14580	0.8225
BSU14600	0.7764
BSU15180	1.0
BSU39540	0.0
BSU38860	0.8976
BSU30870	0.0
BSU23070	1.27
BSU33930	0.9669
BSU15220	0.9007
BSU15200	1.46
BSU33910	1.23
BSU16540	1.09
BSU29790	1.12
BSU15230	0.8522
BSU35580	0.8215
BSU04570	0.9793
BSU03280	0.9103
BSU28140	0.8281
BSU25420	1.18
BSU10120	0.8941
BSU36890	1.01
