gene_id	value
BSU16750	0.3135
BSU23580	0.934
BSU07500	0.7262
BSU39920	0.7505
BSU33290	0.8557
BSU24850	0.9649
BSU03810	0.0
BSU07510	0.9995
BSU30540	1.74
BSU03820	0.9659
BSU22410	0.9489
BSU03830	0.4621
BSU07520	0.4378
BSU07990	1.16
BSU33300	0.986
BSU39350	1.03
BSU15490	1.24
BSU03790	0.7002
BSU28470	0.6252
BSU16760	0.5463
BSU34910	0.678
BSU31322	0.9996
BSU39390	0.9529
BSU27870	0.5631
BSU28510	0.0
BSU02400	0.5885
BSU28720	0.9597
BSU28150	1.38
BSU23570	1.16
BSU22370	0.7236
BSU34920	0.6574
BSU36810	0.68
BSU17150	0.4032
BSU18230	1.21
BSU36840	0.6081
BSU06970	1.1
BSU11710	0.6144
BSU38500	1.49
BSU13960	0.3274
BSU38530	1.37
BSU37780	0.7429
BSU38510	0.9504
BSU38520	1.88
BSU00790	0.9997
BSU00270	1.49
BSU32260	0.1632
BSU32240	0.1779
BSU22600	0.0
BSU02290	1.49
BSU10870	1.13
BSU10020	0.4835
BSU22620	0.7989
BSU34890	0.6062
BSU03990	0.9372
BSU35780	1.38
BSU04740	1.22
BSU31990	0.579
BSU30830	1.49
BSU31970	0.4752
BSU30280	0.8354
BSU19630	0.81
BSU03070	1.08
BSU34870	0.7936
BSU34900	0.7284
BSU22660	1.01
BSU30290	0.9197
BSU30270	0.8332
BSU29600	1.66
BSU26700	1.02
BSU26690	0.8738
BSU26710	0.9148
BSU27850	0.5272
BSU00090	1.07
BSU24130	0.8687
BSU39700	1.08
BSU24140	0.0
BSU39720	1.1
BSU23250	0.8269
BSU28790	0.9585
BSU39750	0.992
BSU39730	0.9056
BSU28780	0.0
BSU04000	0.7588
BSU39740	1.06
BSU29220	1.14
BSU39710	0.9546
BSU17390	0.8366
BSU28270	0.1463
BSU30550	1.32
BSU28260	0.04716
BSU17380	1.07
BSU28250	0.3272
BSU28280	0.05797
BSU39370	0.8969
BSU36920	1.01
BSU28290	0.0829
BSU04030	0.9607
BSU06150	1.06
BSU15910	1.0
BSU00930	0.8193
BSU00380	0.9486
BSU08000	1.42
BSU15900	1.17
BSU24740	1.27
BSU25660	1.46
BSU03981	0.661
BSU34660	1.19
BSU01580	1.88
BSU33390	1.13
BSU25020	0.8457
BSU33370	1.22
BSU26600	1.57
BSU33380	1.22
BSU22430	1.05
BSU26590	1.55
BSU24310	1.17
BSU30790	0.8801
BSU28430	0.6591
BSU32100	0.4998
BSU28440	0.8879
BSU28450	0.7196
BSU16090	0.4963
BSU32200	1.05
BSU16100	0.4894
BSU03130	0.895
