reaction,gpr
CLPNS2_BS,BSU37190 or BSU37240 or BSU36590
CITt14,BSU07610 or BSU39060
CITt2r,BSU38770 or BSU26860
DAPDC,BSU23380
DAPE,BSU32170
DB4PS,BSU23260
DBTS,BSU30210
DCMPDA,BSU25580
CMPDAi,BSU25580
DDGLCNt2r,BSU22090
DDGLK,BSU22110
DGK1,BSU15680
DGNSK,BSU00150
DHAD1,BSU21870
DHAD2,BSU21870
DHBD,BSU32000
DHBS,BSU31980
DHDPRy,BSU22490
DHDPS,BSU16770
FOLR2,BSU21810
DHFR,BSU21810
DHFS,BSU28080
DHNAOT7,BSU38490
GCALDD,BSU38830 or BSU39860 or BSU19310
GAPD,BSU33940
G1Dx,BSU03930
GALt2,BSU33960
DHNPA_1,BSU00780
DHORTS,BSU15500
DHORDi,BSU15530 and BSU15540
GK1,BSU15680
ETHSabc,BSU08840 and BSU08830 and BSU08850
GBBTNabc,BSU33830 and BSU33820 and BSU33810 and BSU33800
GK2,BSU15680
DINSK,BSU00150
FE3t,BSU38280 and BSU38270 and BSU38260
DHQTi,BSU23080
FEDCabc,BSU08460 and BSU08440 and BSU08450
FERXAabc,BSU33310 and BSU33290 and BSU33300 and BSU39610
DHQS,BSU22700
FFSD,BSU38040
FGLU_1,BSU39380
FLVR_1,BSU38110 or BSU03860 or BSU07830
FMETDF,BSU15720
FMNRy,BSU38110
FMETTRS_1,BSU15730
FMNAT,BSU16670
FORt2,BSU27200
GSNt2,BSU38710
DIPEPabc1,BSU12930 and BSU12940 and BSU12950 and BSU12960
GLYBt2r,BSU30070
GLYO1,BSU11670
FTHFD,BSU13110
HEX7,BSU06170 or BSU05860
FUM,BSU33040
DKI,BSU22130
FUMt2r,BSU07570 or BSU04470
GTPCII,BSU23260
G1PACT,BSU00500
GRTT,BSU24280
G1PPDM,BSU34550
DKII,BSU22140
G3PCT,BSU35740
GLCRt2r,BSU02480
GLCURt2r,BSU12360
G1SAT,BSU28120 or BSU08710
DKMD2K,BSU13620
G3PD1ir,BSU22830
G3PD4,BSU09300
GLCP,BSU30940
GLCRD_1,BSU02490
GLCS1,BSU30950
G5SD,BSU13130
G6PDH2r,BSU23850
G6PDA,BSU02360 or BSU35020
G6PI,BSU31350
GLCt2,BSU10520
GALCTD_1,BSU02510
GLNS,BSU17460
GALCTRt2,BSU02480
GLGC,BSU30970 or BSU30960
DKMD3M,BSU13620
GLNabc,(BSU03590 and BSU03600 and BSU03610) or (BSU27440 and BSU27450 and BSU27460 and BSU27430)
GLTPD,BSU12330
GLUPRT,BSU06490
GALKr,BSU38200
GALS1,BSU30300
GALS2,BSU30300
GALS3,BSU30300
GALS4,BSU30300
GLU5K,BSU13120 or BSU18470
GALT,BSU38190
GLUDxi,BSU22960 or BSU37790
GALUi,BSU35670
DM1PE,BSU13590
GALURt2r,BSU12360
GLUN,BSU02430 or BSU14830
GLUTRR,BSU28170
GAMpts,BSU02350 and BSU13900 and BSU13910
DMATT,BSU24280
GAPDi_nadp,BSU29020
GLUR,BSU26810 or BSU28390
GLUSy,BSU18450 and BSU18440
GLUTRS,BSU00920
GLUt4,BSU09130 or BSU10220
GLUt2r,BSU10220 or BSU02340
GLXCBL,BSU04340
GARFT,BSU06510
GART,BSU02230
GBEZY,BSU30980
GF6PTA,BSU01780
GGTAe2,BSU18410
GLY3Pt2,BSU02140
DMPPS,BSU25160
GLYAT,BSU17000
GLYCK,BSU40040
GHMT2r,BSU36900
GLCNt2ir,BSU40070 or BSU19520
DPCOAK,BSU29060
GLYCTO1,BSU28680
GLYCLTt2r,BSU03060 or BSU34190
DPR,BSU15110
GLYCt,BSU09280
GLYK,BSU09290
DRBK,BSU35920
GMPR,BSU32130
GMPS2,BSU06360
GNKr,BSU40060
GPDDA4,BSU02130
GPDDA1,BSU02130
IMPC,BSU06520
HEXSabc,BSU08840 and BSU08830 and BSU08850
ICITt10,BSU07610
ICITt2,BSU07610
DRIBabc,BSU35940 and BSU35960 and BSU35950 and BSU35930
DRPA,BSU39420
IPDPS,BSU25160
IPDDI,BSU22870
GTHPe,BSU21900
RAFH,BSU38040
DTMPK,BSU00280
HXPRT,BSU00680
HETZK,BSU38300
GTPCI,BSU22780
GTPDPK,BSU27600
DURIK1,BSU37060
GUAD,BSU13170
GUAPRT,BSU00680
HXANt2r,BSU06370 or BSU29990
HEMEOS_1,BSU14880 or BSU12080
GUI1,BSU12300
DURIPP,BSU39400
GUAt2r,BSU06370 or BSU29990
HEX1,BSU24850
HGt,BSU33510
GUI2,BSU12300
DUTPDP,BSU17660 or BSU20020
HACD2,BSU32840
HACD1_1,BSU32840 or BSU24160
HEXTT,BSU22760 and BSU22740
HIBD,BSU07990
HEMEAS,BSU14870
DXPRIi,BSU16550
HISDr,BSU39350
HISTD,BSU34910
LAAL17,BSU37710
DXPS,BSU24270
LAAL18,BSU37710
LAAL19,BSU37710
HISTP,BSU29620
HKM1PP,BSU13600
LAAL2,BSU37710
Kt2r,(BSU31090 and BSU31100) or (BSU14510 and BSU13500) or BSU26640
LAAL20,BSU37710
LAAL21,BSU37710
LAAL22,BSU37710
HISt2r,BSU39390 or BSU02400
HMBS,BSU28150
HMGCOAS,BSU17150
LAAL23,BSU37710
ECOAH1_1,BSU18220 or BSU28540
LAAL24,BSU37710
Kt3r,BSU31610 or BSU31660 or BSU31600 or BSU31620 or BSU31630 or BSU31650
HMGL,BSU18230
HOXPRx,BSU13960
HMPK1,BSU11710 or BSU38020
ECOAH2,BSU28540 or BSU18220
HP5CD_1,BSU37780
Kt1,BSU31322
HPPK,BSU00790
LAAL25,BSU37710
ECOAH2c,BSU18220 or BSU28540
LAAF,BSU28720 or BSU28510
LAAL1,BSU37710
HSDy,BSU32260
HSK,BSU32240
HSST,BSU21910
LAAL10,BSU37710
LAAL11,BSU37710
HXAD,BSU35780
ECOAH3,BSU18220 or BSU28540
HSTPTr,BSU34890 or BSU22620
LAAL12,BSU37710
LAAL13,BSU37710
ECOAH4,BSU18220 or BSU28540
LAAL14,BSU37710
LAAL15,BSU37710
LAAL16,BSU37710
LAAL26,BSU37710
LAAL27,BSU37710
ICDHyr,BSU29130
ICHORT,BSU31970
IG3PS_1,BSU34870
IGPDH_1,BSU34900
IGPS,BSU22660
ILEDHr,BSU24080
IMPD,BSU00090
ILETA,BSU02390 or BSU38550
ILEt2r,BSU26690 or (BSU26710 and BSU26700) or BSU29600
LAAL28,BSU37710
LAAL29,BSU37710
ECOAH5_1,BSU28540 or BSU18220
LAAL3,BSU37710
LAAL30,BSU37710
INS2D,BSU39700
ECOAH6,BSU18220 or BSU28540
INSTt2,BSU06230 or BSU39710
IPDPUPT,BSU16530
IPMD,BSU28270
ECOAH7,BSU18220 or BSU28540
IPPS,BSU28280
IZPN_1,BSU39370
IPPMIa,BSU28260 and BSU28250
IPPMIb,BSU28260 and BSU28250
KARA1,BSU28290
KARA2,BSU28290
LYSLG_BS,BG12900
KAS1,(BSU15900 and BSU11340 and BSU15910 and BSU11330 and BSU11720 and BSU04030) or (BSU15900 and BSU11340 and BSU15910 and BSU10170 and BSU08650 and BSU36370)
LAAL31,BSU37710
ECOAH9ir,BSU18220 or BSU28540
EDA,BSU22100
ENO,BSU33900
MALt2r,BSU04470 or BSU38770 or BSU07570
ETHAt6,BSU39450
MECDPS,BSU00910
LCYSTabc,BSU08840 and BSU08830 and BSU08850
MANt2,BSU10520
LLEUDr,BSU24080
L_LACt2r,BSU03060 or BSU34190
MTAN,BSU27270
MOPSabc,BSU08840 and BSU08830 and BSU08850
MLTG1,BSU34560
NAPRT,BSU31750
MLTG2,BSU34560
LAAL32,BSU37710
LEUTA,BSU38550 or BSU02390
METS,BSU13180
LEUt2r,(BSU26710 and BSU26700) or BSU29600 or BSU26690
