reaction,gpr
ECTOINEabc,BSU33830 and BSU33820 and BSU33810 and BSU33800
ITCY,BSU27330
PROLBabc,(BSU02980 and BSU02990 and BSU03000) or (BSU33830 and BSU33820 and BSU33810 and BSU33800)
GLCpts,BSU13890 and BSU13900 and BSU13910
MANpts,BSU12010 and BSU13900 and BSU13910
MNLpts,BSU03981 and BSU13900 and BSU13910
DIPEPabc10,BSU12930 and BSU12940 and BSU12950 and BSU12960
DIPEPabc11,BSU12930 and BSU12940 and BSU12950 and BSU12960
SUCpts,(BSU13900 and BSU13910 and BSU38050) or (BSU13900 and BSU13910 and BSU01680)
TREpts,BSU13900 and BSU13910 and BSU07800
FERRICHabc,(BSU07520 and BSU07510 and BSU07500 and BSU07490) or (BSU33310 and BSU33290 and BSU33320 and BSU33300) or (BSU03800 and BSU03810 and BSU03820 and BSU03830)
GPDDA2,BSU02130
HACD3,BSU32840
HACD4,BSU32840
HACD5,BSU32840
HACD6,BSU32840
HACD7,BSU32840
HACD9,BSU32840
HACOADr,BSU32840
ICHORS,BSU30830 or BSU31990
INSCR,BSU39670 and BSU39750 and BSU39740 and BSU39730 and BSU39720
FACOAL161_ISO,BSU28560 or BSU18250 or BSU10270 or BSU10360
FACOAL170_ISO,BSU10360 or BSU18250 or BSU10270 or BSU28560
FACOAL170_anteiso,BSU28560 or BSU10270 or BSU10360 or BSU18250
FACOAL171_ISO,BSU10270 or BSU10360 or BSU18250 or BSU28560
FACOAL171_anteiso,BSU10270 or BSU10360 or BSU18250 or BSU28560
FACOAL180_2,BSU10270 or BSU10360 or BSU18250 or BSU28560
FACOAL181,BSU18250 or BSU10270 or BSU10360 or BSU28560
KAS13,(BSU15900 and BSU11340 and BSU15910 and BSU11330 and BSU11720 and BSU04030) or (BSU15900 and BSU11340 and BSU15910 and BSU10170 and BSU08650 and BSU36370)
KAS17,(BSU15900 and BSU11340 and BSU15910 and BSU10170 and BSU08650 and BSU36370) or (BSU15900 and BSU11340 and BSU15910 and BSU11330 and BSU11720 and BSU04030)
FACOAL150_anteiso,BSU28560 or BSU18250 or BSU10360 or BSU10270
FACOAL160,BSU10270 or BSU10360 or BSU18250 or BSU28560
FACOAL160_ISO,BSU10270 or BSU10360 or BSU18250 or BSU28560
FACOAL161,BSU28560 or BSU10270 or BSU10360 or BSU18250
KAS2,(BSU15900 and BSU11340 and BSU15910 and BSU11330 and BSU11720 and BSU04030) or (BSU15900 and BSU11340 and BSU15910 and BSU10170 and BSU08650 and BSU36370)
KAS3,(BSU15900 and BSU11340 and BSU15910 and BSU10170 and BSU08650 and BSU36370) or (BSU15900 and BSU11340 and BSU15910 and BSU11330 and BSU11720 and BSU04030)
KAS4,(BSU15900 and BSU11340 and BSU15910 and BSU11330 and BSU11720 and BSU04030) or (BSU15900 and BSU11340 and BSU15910 and BSU10170 and BSU08650 and BSU36370)
KAS5,(BSU15900 and BSU11340 and BSU15910 and BSU10170 and BSU08650 and BSU36370) or (BSU15900 and BSU11340 and BSU15910 and BSU11330 and BSU11720 and BSU04030)
KAS6,(BSU15900 and BSU11340 and BSU15910 and BSU11330 and BSU11720 and BSU04030) or (BSU15900 and BSU11340 and BSU15910 and BSU10170 and BSU08650 and BSU36370)
KAS7,(BSU15900 and BSU11340 and BSU15910 and BSU11330 and BSU11720 and BSU04030) or (BSU15900 and BSU11340 and BSU15910 and BSU10170 and BSU08650 and BSU36370)
KAS8,(BSU15900 and BSU11340 and BSU15910 and BSU11720 and BSU04030) or (BSU15900 and BSU11340 and BSU15910 and BSU10170 and BSU08650 and BSU36370)
KAS9,(BSU15900 and BSU11340 and BSU15910 and BSU10170 and BSU08650 and BSU36370) or (BSU15900 and BSU11340 and BSU15910 and BSU11330 and BSU11720 and BSU04030)
KAS10,(BSU15900 and BSU11340 and BSU15910 and BSU11330 and BSU11720 and BSU04030) or (BSU15900 and BSU11340 and BSU15910 and BSU10170 and BSU08650 and BSU36370)
KAS11,(BSU15900 and BSU11340 and BSU15910 and BSU11330 and BSU11720 and BSU04030) or (BSU15900 and BSU11340 and BSU15910 and BSU10170 and BSU08650 and BSU36370)
PUNP7,BSU23490 or BSU19630
PUNP8,BSU23490 or BSU19630
PUNP1,BSU23490 or BSU19630
PUNP2,BSU19630 or BSU23490
KAS12,(BSU15900 and BSU11340 and BSU15910 and BSU11720 and BSU04030) or (BSU15900 and BSU11340 and BSU15910 and BSU10170 and BSU08650 and BSU36370)
LAAL34,BSU37710
LAAL35,BSU37710
LAAL36,BSU37710
LAAL37,BSU37710
LAAL38,BSU37710
LAAL39,BSU37710
PANTS,BSU22420
LAAL4,BSU37710
LAAL40,BSU37710
LAAL41,BSU37710
LAAL42,BSU37710
PAPPT3,BSU15190
LAAL5,BSU37710
LAAL6,BSU37710
PC,BSU14860
LAAL7,BSU37710
LAAL8,BSU37710
LAAL9,BSU37710
PBUTT,BSU24090 or BSU37660
MLTG3,BSU34560
MLTG4,BSU34560
PDH,(BSU14580 and BSU14590) and BSU14600 and BSU14610
MLTG5,BSU34560
MLTG6,BSU34560
MLTG7,BSU34560
PFK_2,BSU29190
TARTRDH2,BSU04000
PUNP3,BSU23490 or BSU19630
PUNP4,BSU19630 or BSU23490
PFK,BSU29190
METSRabc,(BSU32730 and BSU32740 and BSU32750) or (BSU29380 and BSU29370 and BSU29360 and BSU29350 and BSU29340)
PRAMPC_1,BSU34860
PSP_L,BSU04740
PGAMT,BSU01770
TECA2S45,BSU38500 and BSU38510 and BSU38520 and BSU38530 and BSU35750 and BSU35760 and BSU35720 and BSU35710 and BSU35700 and BSU35530
RNDR1,BSU17380 and BSU17390 and BSU17370
PGMT,BSU01770
RNDR2,BSU17380 and BSU17390 and BSU17370
PGCD,BSU23070
RNDR3,BSU17380 and BSU17390 and BSU17370
TECA3S45,BSU35750 and BSU35760 and BSU35730 and BSU35720 and BSU35710 and BSU35700 and BSU35530
GND,BSU23860
PGK,BSU33930
PGLYCP,BSU09240
PGM,BSU33910
PHCYT_BS,BSU16540
